y,x,val
0.0000,0.0000,1504.7557
0.0000,46.5116,1504.9667
0.0000,93.0233,1505.8622
0.0000,139.5349,1507.2506
0.0000,186.0465,1509.0206
0.0000,232.5581,1510.9162
0.0000,279.0698,1512.6846
0.0000,325.5814,1514.2095
0.0000,372.0930,1515.4707
0.0000,418.6047,1516.4058
0.0000,465.1163,1517.0062
0.0000,511.6279,1517.3811
0.0000,558.1395,1517.6460
0.0000,604.6512,1517.9477
0.0000,651.1628,1518.2978
0.0000,697.6744,1518.7128
0.0000,744.1860,1519.2661
0.0000,790.6977,1519.9030
0.0000,837.2093,1520.5314
0.0000,883.7209,1521.0929
0.0000,930.2326,1521.5648
0.0000,976.7442,1521.9064
0.0000,1023.2558,1522.0906
0.0000,1069.7674,1522.1741
0.0000,1116.2791,1522.2158
0.0000,1162.7907,1522.2577
0.0000,1209.3023,1522.3288
0.0000,1255.8140,1522.4832
0.0000,1302.3256,1522.7548
0.0000,1348.8372,1523.0495
0.0000,1395.3488,1523.3267
0.0000,1441.8605,1523.5730
0.0000,1488.3721,1523.6641
0.0000,1534.8837,1523.4879
0.0000,1581.3953,1522.9358
0.0000,1627.9070,1522.0249
0.0000,1674.4186,1520.7980
0.0000,1720.9302,1519.2339
0.0000,1767.4419,1517.4438
0.0000,1813.9535,1515.7021
0.0000,1860.4651,1514.3005
0.0000,1906.9767,1513.3543
0.0000,1953.4884,1513.0714
0.0000,2000.0000,1513.0714
40.0000,0.0000,1505.0556
40.0000,46.5116,1505.2465
40.0000,93.0233,1506.1620
40.0000,139.5349,1507.5363
40.0000,186.0465,1509.2908
40.0000,232.5581,1511.1676
40.0000,279.0698,1512.8567
40.0000,325.5814,1514.3145
40.0000,372.0930,1515.5384
40.0000,418.6047,1516.4207
40.0000,465.1163,1516.9949
40.0000,511.6279,1517.3458
40.0000,558.1395,1517.5694
40.0000,604.6512,1517.8598
40.0000,651.1628,1518.1900
40.0000,697.6744,1518.5517
40.0000,744.1860,1519.0856
40.0000,790.6977,1519.7178
40.0000,837.2093,1520.3240
40.0000,883.7209,1520.8804
40.0000,930.2326,1521.3548
40.0000,976.7442,1521.6890
40.0000,1023.2558,1521.8620
40.0000,1069.7674,1521.9294
40.0000,1116.2791,1521.9604
40.0000,1162.7907,1522.0159
40.0000,1209.3023,1522.0856
40.0000,1255.8140,1522.2441
40.0000,1302.3256,1522.5569
40.0000,1348.8372,1522.8606
40.0000,1395.3488,1523.1262
40.0000,1441.8605,1523.3898
40.0000,1488.3721,1523.4884
40.0000,1534.8837,1523.3208
40.0000,1581.3953,1522.8069
40.0000,1627.9070,1521.9303
40.0000,1674.4186,1520.7797
40.0000,1720.9302,1519.3148
40.0000,1767.4419,1517.5519
40.0000,1813.9535,1515.8279
40.0000,1860.4651,1514.4636
40.0000,1906.9767,1513.5114
40.0000,1953.4884,1513.2478
40.0000,2000.0000,1513.2478
80.0000,0.0000,1506.3096
80.0000,46.5116,1506.4954
80.0000,93.0233,1507.3303
80.0000,139.5349,1508.5968
80.0000,186.0465,1510.1355
80.0000,232.5581,1511.6863
80.0000,279.0698,1513.1084
80.0000,325.5814,1514.3908
80.0000,372.0930,1515.4197
80.0000,418.6047,1516.1792
80.0000,465.1163,1516.7716
80.0000,511.6279,1517.1540
80.0000,558.1395,1517.3888
80.0000,604.6512,1517.6681
80.0000,651.1628,1517.9316
80.0000,697.6744,1518.2176
80.0000,744.1860,1518.6741
80.0000,790.6977,1519.1862
80.0000,837.2093,1519.7017
80.0000,883.7209,1520.2327
80.0000,930.2326,1520.6739
80.0000,976.7442,1520.9781
80.0000,1023.2558,1521.1593
80.0000,1069.7674,1521.2325
80.0000,1116.2791,1521.2618
80.0000,1162.7907,1521.3652
80.0000,1209.3023,1521.4945
80.0000,1255.8140,1521.6773
80.0000,1302.3256,1522.0198
80.0000,1348.8372,1522.3305
80.0000,1395.3488,1522.5544
80.0000,1441.8605,1522.7656
80.0000,1488.3721,1522.7848
80.0000,1534.8837,1522.5577
80.0000,1581.3953,1522.1335
80.0000,1627.9070,1521.4202
80.0000,1674.4186,1520.4315
80.0000,1720.9302,1519.2679
80.0000,1767.4419,1517.8768
80.0000,1813.9535,1516.4110
80.0000,1860.4651,1515.2260
80.0000,1906.9767,1514.4209
80.0000,1953.4884,1514.1921
80.0000,2000.0000,1514.1921
120.0000,0.0000,1508.3426
120.0000,46.5116,1508.5340
120.0000,93.0233,1509.2239
120.0000,139.5349,1510.2515
120.0000,186.0465,1511.4078
120.0000,232.5581,1512.4801
120.0000,279.0698,1513.5113
120.0000,325.5814,1514.4696
120.0000,372.0930,1515.2231
120.0000,418.6047,1515.8472
120.0000,465.1163,1516.4177
120.0000,511.6279,1516.8372
120.0000,558.1395,1517.1191
120.0000,604.6512,1517.3707
120.0000,651.1628,1517.5495
120.0000,697.6744,1517.7406
120.0000,744.1860,1518.0586
120.0000,790.6977,1518.4006
120.0000,837.2093,1518.7930
120.0000,883.7209,1519.2437
120.0000,930.2326,1519.6286
120.0000,976.7442,1519.9108
120.0000,1023.2558,1520.0874
120.0000,1069.7674,1520.1766
120.0000,1116.2791,1520.2353
120.0000,1162.7907,1520.3898
120.0000,1209.3023,1520.5970
120.0000,1255.8140,1520.8322
120.0000,1302.3256,1521.1818
120.0000,1348.8372,1521.4884
120.0000,1395.3488,1521.6711
120.0000,1441.8605,1521.7706
120.0000,1488.3721,1521.6853
120.0000,1534.8837,1521.4224
120.0000,1581.3953,1521.0796
120.0000,1627.9070,1520.5942
120.0000,1674.4186,1519.9073
120.0000,1720.9302,1519.1472
120.0000,1767.4419,1518.3044
120.0000,1813.9535,1517.3287
120.0000,1860.4651,1516.4876
120.0000,1906.9767,1515.9242
120.0000,1953.4884,1515.7435
120.0000,2000.0000,1515.7435
160.0000,0.0000,1510.9201
160.0000,46.5116,1511.1079
160.0000,93.0233,1511.6251
160.0000,139.5349,1512.2921
160.0000,186.0465,1512.9659
160.0000,232.5581,1513.5650
160.0000,279.0698,1514.1017
160.0000,325.5814,1514.6316
160.0000,372.0930,1515.1122
160.0000,418.6047,1515.5674
160.0000,465.1163,1516.0648
160.0000,511.6279,1516.4826
160.0000,558.1395,1516.7769
160.0000,604.6512,1516.9966
160.0000,651.1628,1517.1027
160.0000,697.6744,1517.1539
160.0000,744.1860,1517.3014
160.0000,790.6977,1517.4904
160.0000,837.2093,1517.7288
160.0000,883.7209,1518.0623
160.0000,930.2326,1518.3832
160.0000,976.7442,1518.6351
160.0000,1023.2558,1518.8022
160.0000,1069.7674,1518.9043
160.0000,1116.2791,1519.0032
160.0000,1162.7907,1519.2168
160.0000,1209.3023,1519.4759
160.0000,1255.8140,1519.7638
160.0000,1302.3256,1520.1365
160.0000,1348.8372,1520.4204
160.0000,1395.3488,1520.5471
160.0000,1441.8605,1520.5511
160.0000,1488.3721,1520.3960
160.0000,1534.8837,1520.1345
160.0000,1581.3953,1519.8911
160.0000,1627.9070,1519.6269
160.0000,1674.4186,1519.3365
