y,x,val
0.0000,0.0000,-43.7654
0.0000,46.5116,-43.7488
0.0000,93.0233,-43.0478
0.0000,139.5349,-41.8538
0.0000,186.0465,-40.2784
0.0000,232.5581,-38.5773
0.0000,279.0698,-37.0034
0.0000,325.5814,-35.6730
0.0000,372.0930,-34.6063
0.0000,418.6047,-33.8656
0.0000,465.1163,-33.4597
0.0000,511.6279,-33.2793
0.0000,558.1395,-33.2089
0.0000,604.6512,-33.1017
0.0000,651.1628,-32.9460
0.0000,697.6744,-32.7256
0.0000,744.1860,-32.3668
0.0000,790.6977,-31.9244
0.0000,837.2093,-31.4904
0.0000,883.7209,-31.1235
0.0000,930.2326,-30.8461
0.0000,976.7442,-30.6989
0.0000,1023.2558,-30.7092
0.0000,1069.7674,-30.8202
0.0000,1116.2791,-30.9730
0.0000,1162.7907,-31.1256
0.0000,1209.3023,-31.2489
0.0000,1255.8140,-31.2891
0.0000,1302.3256,-31.2120
0.0000,1348.8372,-31.1117
0.0000,1395.3488,-31.0290
0.0000,1441.8605,-30.9772
0.0000,1488.3721,-31.0807
0.0000,1534.8837,-31.4513
0.0000,1581.3953,-32.1979
0.0000,1627.9070,-33.3033
0.0000,1674.4186,-34.7247
0.0000,1720.9302,-36.4833
0.0000,1767.4419,-38.4678
0.0000,1813.9535,-40.4040
0.0000,1860.4651,-42.0002
0.0000,1906.9767,-43.1408
0.0000,1953.4884,-43.6182
0.0000,2000.0000,-43.6182
40.0000,0.0000,-39.1879
40.0000,46.5116,-39.1796
40.0000,93.0233,-38.4469
40.0000,139.5349,-37.2552
40.0000,186.0465,-35.6833
40.0000,232.5581,-33.9891
40.0000,279.0698,-32.4828
40.0000,325.5814,-31.2075
40.0000,372.0930,-30.1663
40.0000,418.6047,-29.4667
40.0000,465.1163,-29.0751
40.0000,511.6279,-28.9069
40.0000,558.1395,-28.8659
40.0000,604.6512,-28.7582
40.0000,651.1628,-28.6107
40.0000,697.6744,-28.4316
40.0000,744.1860,-28.0804
40.0000,790.6977,-27.6308
40.0000,837.2093,-27.2073
40.0000,883.7209,-26.8335
40.0000,930.2326,-26.5418
40.0000,976.7442,-26.3902
40.0000,1023.2558,-26.3999
40.0000,1069.7674,-26.5151
40.0000,1116.2791,-26.6668
40.0000,1162.7907,-26.7940
40.0000,1209.3023,-26.9069
40.0000,1255.8140,-26.9311
40.0000,1302.3256,-26.8009
40.0000,1348.8372,-26.6799
40.0000,1395.3488,-26.5969
40.0000,1441.8605,-26.5159
40.0000,1488.3721,-26.6000
40.0000,1534.8837,-26.9503
40.0000,1581.3953,-27.6468
40.0000,1627.9070,-28.7060
40.0000,1674.4186,-30.0393
40.0000,1720.9302,-31.6868
40.0000,1767.4419,-33.6325
40.0000,1813.9535,-35.5391
40.0000,1860.4651,-37.0860
40.0000,1906.9767,-38.2209
40.0000,1953.4884,-38.6672
40.0000,2000.0000,-38.6672
80.0000,0.0000,-33.9590
80.0000,46.5116,-33.9448
80.0000,93.0233,-33.2814
80.0000,139.5349,-32.1865
80.0000,186.0465,-30.8193
80.0000,232.5581,-29.4400
80.0000,279.0698,-28.1894
80.0000,325.5814,-27.0785
80.0000,372.0930,-26.2212
80.0000,418.6047,-25.6332
80.0000,465.1163,-25.2124
80.0000,511.6279,-25.0015
80.0000,558.1395,-24.9382
80.0000,604.6512,-24.8305
80.0000,651.1628,-24.7385
80.0000,697.6744,-24.6240
