y,x,val
0.0000,0.0000,-42.7115
0.0000,46.5116,-42.8507
0.0000,93.0233,-42.5808
0.0000,139.5349,-42.0253
0.0000,186.0465,-41.3080
0.0000,232.5581,-40.5934
0.0000,279.0698,-39.9897
0.0000,325.5814,-39.5182
0.0000,372.0930,-39.2249
0.0000,418.6047,-39.0995
0.0000,465.1163,-39.0200
0.0000,511.6279,-38.9245
0.0000,558.1395,-38.7581
0.0000,604.6512,-38.4068
0.0000,651.1628,-37.8978
0.0000,697.6744,-37.3350
0.0000,744.1860,-36.8177
0.0000,790.6977,-36.3732
0.0000,837.2093,-36.0280
0.0000,883.7209,-35.7965
0.0000,930.2326,-35.6997
0.0000,976.7442,-35.6937
0.0000,1023.2558,-35.6811
0.0000,1069.7674,-35.7458
0.0000,1116.2791,-35.9570
0.0000,1162.7907,-36.3277
0.0000,1209.3023,-36.7920
0.0000,1255.8140,-37.2861
0.0000,1302.3256,-37.7701
0.0000,1348.8372,-38.1566
0.0000,1395.3488,-38.3504
0.0000,1441.8605,-38.3360
0.0000,1488.3721,-38.3110
0.0000,1534.8837,-38.4195
0.0000,1581.3953,-38.7993
0.0000,1627.9070,-39.5685
0.0000,1674.4186,-40.7291
0.0000,1720.9302,-42.2332
0.0000,1767.4419,-43.9479
0.0000,1813.9535,-45.6262
0.0000,1860.4651,-46.9919
0.0000,1906.9767,-47.9092
0.0000,1953.4884,-48.2264
0.0000,2000.0000,-48.2264
40.0000,0.0000,-38.1456
40.0000,46.5116,-38.2882
40.0000,93.0233,-37.9760
40.0000,139.5349,-37.3685
40.0000,186.0465,-36.5964
40.0000,232.5581,-35.8501
40.0000,279.0698,-35.2502
40.0000,325.5814,-34.7725
40.0000,372.0930,-34.4947
40.0000,418.6047,-34.4341
40.0000,465.1163,-34.3987
40.0000,511.6279,-34.3435
40.0000,558.1395,-34.2506
40.0000,604.6512,-33.9517
40.0000,651.1628,-33.4600
40.0000,697.6744,-32.9107
40.0000,744.1860,-32.3668
40.0000,790.6977,-31.8877
40.0000,837.2093,-31.5079
40.0000,883.7209,-31.2136
40.0000,930.2326,-31.0895
40.0000,976.7442,-31.0949
40.0000,1023.2558,-31.0897
40.0000,1069.7674,-31.1803
40.0000,1116.2791,-31.4448
40.0000,1162.7907,-31.8380
40.0000,1209.3023,-32.3157
40.0000,1255.8140,-32.8040
40.0000,1302.3256,-33.2432
40.0000,1348.8372,-33.5869
40.0000,1395.3488,-33.7066
40.0000,1441.8605,-33.5933
40.0000,1488.3721,-33.5037
40.0000,1534.8837,-33.5497
40.0000,1581.3953,-33.8402
40.0000,1627.9070,-34.5672
40.0000,1674.4186,-35.6985
40.0000,1720.9302,-37.1593
40.0000,1767.4419,-38.8765
40.0000,1813.9535,-40.5687
40.0000,1860.4651,-41.9327
40.0000,1906.9767,-42.8493
40.0000,1953.4884,-43.1159
40.0000,2000.0000,-43.1159
80.0000,0.0000,-33.1462
80.0000,46.5116,-33.2659
80.0000,93.0233,-32.9378
80.0000,139.5349,-32.3109
80.0000,186.0465,-31.5412
80.0000,232.5581,-30.8319
80.0000,279.0698,-30.2728
80.0000,325.5814,-29.8280
80.0000,372.0930,-29.6275
80.0000,418.6047,-29.6432
80.0000,465.1163,-29.6708
80.0000,511.6279,-29.7228
80.0000,558.1395,-29.7446
80.0000,604.6512,-29.6057
80.0000,651.1628,-29.3239
80.0000,697.6744,-28.9052
80.0000,744.1860,-28.3408
80.0000,790.6977,-27.8030
80.0000,837.2093,-27.3534
80.0000,883.7209,-26.9251
80.0000,930.2326,-26.6837
80.0000,976.7442,-26.6642
80.0000,1023.2558,-26.7574
80.0000,1069.7674,-27.0429
80.0000,1116.2791,-27.4778
80.0000,1162.7907,-27.9122
80.0000,1209.3023,-28.3887
80.0000,1255.8140,-28.8435
80.0000,1302.3256,-29.1174
80.0000,1348.8372,-29.2264
80.0000,1395.3488,-29.1827
80.0000,1441.8605,-28.9928
80.0000,1488.3721,-28.8629
80.0000,1534.8837,-28.8929
80.0000,1581.3953,-29.0904
80.0000,1627.9070,-29.7003
80.0000,1674.4186,-30.7400
80.0000,1720.9302,-32.0214
80.0000,1767.4419,-33.5197
80.0000,1813.9535,-35.0611
80.0000,1860.4651,-36.3323
80.0000,1906.9767,-37.1626
80.0000,1953.4884,-37.3986
80.0000,2000.0000,-37.3986
120.0000,0.0000,-27.7838
120.0000,46.5116,-27.8546
120.0000,93.0233,-27.5282
120.0000,139.5349,-26.9385
120.0000,186.0465,-26.2349
120.0000,232.5581,-25.6080
120.0000,279.0698,-25.1166
120.0000,325.5814,-24.7654
120.0000,372.0930,-24.6642
120.0000,418.6047,-24.7436
120.0000,465.1163,-24.8608
120.0000,511.6279,-25.0592
120.0000,558.1395,-25.2511
120.0000,604.6512,-25.3519
120.0000,651.1628,-25.3623
120.0000,697.6744,-25.1458
120.0000,744.1860,-24.6385
120.0000,790.6977,-24.0438
120.0000,837.2093,-23.4602
120.0000,883.7209,-22.8758
120.0000,930.2326,-22.4927
120.0000,976.7442,-22.4359
120.0000,1023.2558,-22.6842
120.0000,1069.7674,-23.2252
120.0000,1116.2791,-23.8754
120.0000,1162.7907,-24.4229
120.0000,1209.3023,-24.8915
120.0000,1255.8140,-25.2255
120.0000,1302.3256,-25.2545
120.0000,1348.8372,-25.0556
120.0000,1395.3488,-24.7988
120.0000,1441.8605,-24.5236
120.0000,1488.3721,-24.3552
120.0000,1534.8837,-24.3697
120.0000,1581.3953,-24.5243
120.0000,1627.9070,-24.9848
120.0000,1674.4186,-25.8111
120.0000,1720.9302,-26.8293
120.0000,1767.4419,-27.9852
120.0000,1813.9535,-29.2231
120.0000,1860.4651,-30.2702
120.0000,1906.9767,-30.9602
120.0000,1953.4884,-31.1951
120.0000,2000.0000,-31.1951
160.0000,0.0000,-22.1800
160.0000,46.5116,-22.1965
160.0000,93.0233,-21.8846
160.0000,139.5349,-21.3793
160.0000,186.0465,-20.7873
160.0000,232.5581,-20.2682
160.0000,279.0698,-19.8962
160.0000,325.5814,-19.6595
160.0000,372.0930,-19.6331
160.0000,418.6047,-19.7906
160.0000,465.1163,-20.0148
160.0000,511.6279,-20.3601
160.0000,558.1395,-20.7860
160.0000,604.6512,-21.1763
160.0000,651.1628,-21.4545
160.0000,697.6744,-21.4865
160.0000,744.1860,-21.1020
160.0000,790.6977,-20.4780
160.0000,837.2093,-19.7465
160.0000,883.7209,-18.9867
160.0000,930.2326,-18.4968
160.0000,976.7442,-18.4401
160.0000,1023.2558,-18.8363
160.0000,1069.7674,-19.5898
160.0000,1116.2791,-20.4794
160.0000,1162.7907,-21.1765
160.0000,1209.3023,-21.6359
160.0000,1255.8140,-21.7851
160.0000,1302.3256,-21.5210
160.0000,1348.8372,-21.0555
160.0000,1395.3488,-20.5637
160.0000,1441.8605,-20.1554
160.0000,1488.3721,-19.9412
160.0000,1534.8837,-19.9369
160.0000,1581.3953,-20.0497
160.0000,1627.9070,-20.3780
160.0000,1674.4186,-20.9269
160.0000,1720.9302,-21.5914
160.0000,1767.4419,-22.3751
160.0000,1813.9535,-23.2080
160.0000,1860.4651,-23.9257
160.0000,1906.9767,-24.4524
160.0000,1953.4884,-24.6862
160.0000,2000.0000,-24.6862
200.0000,0.0000,-16.4920
200.0000,46.5116,-16.4609
200.0000,93.0233,-16.1816
200.0000,139.5349,-15.7853
200.0000,186.0465,-15.3184
200.0000,232.5581,-14.9333
200.0000,279.0698,-14.7126
200.0000,325.5814,-14.5671
200.0000,372.0930,-14.6021
200.0000,418.6047,-14.8391
200.0000,465.1163,-15.1606
200.0000,511.6279,-15.6617
200.0000,558.1395,-16.3431
