y,x,val
0.0000,0.0000,1504.7176
0.0000,46.5116,1504.7700
0.0000,93.0233,1505.0577
0.0000,139.5349,1505.5422
0.0000,186.0465,1506.1968
0.0000,232.5581,1506.9568
0.0000,279.0698,1507.7485
0.0000,325.5814,1508.5219
0.0000,372.0930,1509.2443
0.0000,418.6047,1509.8813
0.0000,465.1163,1510.4251
0.0000,511.6279,1510.8917
0.0000,558.1395,1511.2853
0.0000,604.6512,1511.6192
0.0000,651.1628,1511.9136
0.0000,697.6744,1512.1767
0.0000,744.1860,1512.4211
0.0000,790.6977,1512.6564
0.0000,837.2093,1512.8855
0.0000,883.7209,1513.1205
0.0000,930.2326,1513.3701
0.0000,976.7442,1513.6375
0.0000,1023.2558,1513.9384
0.0000,1069.7674,1514.2802
0.0000,1116.2791,1514.6569
0.0000,1162.7907,1515.0683
0.0000,1209.3023,1515.4961
0.0000,1255.8140,1515.9175
0.0000,1302.3256,1516.3244
0.0000,1348.8372,1516.7120
0.0000,1395.3488,1517.0689
0.0000,1441.8605,1517.3976
0.0000,1488.3721,1517.7029
0.0000,1534.8837,1517.9781
0.0000,1581.3953,1518.2222
0.0000,1627.9070,1518.4488
0.0000,1674.4186,1518.6600
0.0000,1720.9302,1518.8569
0.0000,1767.4419,1519.0579
0.0000,1813.9535,1519.2673
0.0000,1860.4651,1519.4671
0.0000,1906.9767,1519.6009
0.0000,1953.4884,1519.6269
0.0000,2000.0000,1519.6269
40.0000,0.0000,1504.8220
40.0000,46.5116,1504.8591
40.0000,93.0233,1505.1541
40.0000,139.5349,1505.6425
40.0000,186.0465,1506.2993
40.0000,232.5581,1507.0665
40.0000,279.0698,1507.8543
40.0000,325.5814,1508.6198
40.0000,372.0930,1509.3368
40.0000,418.6047,1509.9573
40.0000,465.1163,1510.4834
40.0000,511.6279,1510.9408
40.0000,558.1395,1511.3218
40.0000,604.6512,1511.6450
40.0000,651.1628,1511.9361
40.0000,697.6744,1512.1940
40.0000,744.1860,1512.4337
40.0000,790.6977,1512.6681
40.0000,837.2093,1512.8920
40.0000,883.7209,1513.1208
40.0000,930.2326,1513.3672
40.0000,976.7442,1513.6255
40.0000,1023.2558,1513.9172
40.0000,1069.7674,1514.2569
40.0000,1116.2791,1514.6289
40.0000,1162.7907,1515.0394
40.0000,1209.3023,1515.4685
40.0000,1255.8140,1515.8836
40.0000,1302.3256,1516.2843
40.0000,1348.8372,1516.6678
40.0000,1395.3488,1517.0137
40.0000,1441.8605,1517.3311
40.0000,1488.3721,1517.6302
40.0000,1534.8837,1517.8957
40.0000,1581.3953,1518.1317
40.0000,1627.9070,1518.3551
40.0000,1674.4186,1518.5638
40.0000,1720.9302,1518.7630
40.0000,1767.4419,1518.9725
40.0000,1813.9535,1519.1988
40.0000,1860.4651,1519.4171
40.0000,1906.9767,1519.5591
40.0000,1953.4884,1519.5759
40.0000,2000.0000,1519.5759
80.0000,0.0000,1505.2362
80.0000,46.5116,1505.2723
80.0000,93.0233,1505.5649
80.0000,139.5349,1506.0470
80.0000,186.0465,1506.6684
80.0000,232.5581,1507.3829
80.0000,279.0698,1508.1251
80.0000,325.5814,1508.8467
80.0000,372.0930,1509.5110
80.0000,418.6047,1510.0885
80.0000,465.1163,1510.5839
80.0000,511.6279,1511.0121
80.0000,558.1395,1511.3740
80.0000,604.6512,1511.6868
80.0000,651.1628,1511.9708
80.0000,697.6744,1512.2263
80.0000,744.1860,1512.4623
80.0000,790.6977,1512.6918
80.0000,837.2093,1512.9126
80.0000,883.7209,1513.1330
80.0000,930.2326,1513.3676
80.0000,976.7442,1513.6166
80.0000,1023.2558,1513.8938
80.0000,1069.7674,1514.2162
80.0000,1116.2791,1514.5767
80.0000,1162.7907,1514.9739
80.0000,1209.3023,1515.3802
80.0000,1255.8140,1515.7776
80.0000,1302.3256,1516.1613
80.0000,1348.8372,1516.5177
80.0000,1395.3488,1516.8408
80.0000,1441.8605,1517.1359
80.0000,1488.3721,1517.4035
80.0000,1534.8837,1517.6466
80.0000,1581.3953,1517.8721
80.0000,1627.9070,1518.0837
80.0000,1674.4186,1518.2911
80.0000,1720.9302,1518.5133
80.0000,1767.4419,1518.7577
80.0000,1813.9535,1519.0089
80.0000,1860.4651,1519.2292
80.0000,1906.9767,1519.3589
80.0000,1953.4884,1519.3670
80.0000,2000.0000,1519.3670
120.0000,0.0000,1505.9122
120.0000,46.5116,1505.9568
120.0000,93.0233,1506.2400
120.0000,139.5349,1506.6951
120.0000,186.0465,1507.2588
120.0000,232.5581,1507.8882
120.0000,279.0698,1508.5458
120.0000,325.5814,1509.1815
120.0000,372.0930,1509.7624
120.0000,418.6047,1510.2784
120.0000,465.1163,1510.7217
120.0000,511.6279,1511.1079
120.0000,558.1395,1511.4455
120.0000,604.6512,1511.7414
120.0000,651.1628,1512.0151
120.0000,697.6744,1512.2671
120.0000,744.1860,1512.4965
120.0000,790.6977,1512.7190
120.0000,837.2093,1512.9346
120.0000,883.7209,1513.1420
120.0000,930.2326,1513.3611
120.0000,976.7442,1513.5979
120.0000,1023.2558,1513.8556
120.0000,1069.7674,1514.1534
120.0000,1116.2791,1514.4925
120.0000,1162.7907,1514.8628
120.0000,1209.3023,1515.2341
120.0000,1255.8140,1515.6033
120.0000,1302.3256,1515.9559
120.0000,1348.8372,1516.2734
120.0000,1395.3488,1516.5641
120.0000,1441.8605,1516.8232
120.0000,1488.3721,1517.0489
120.0000,1534.8837,1517.2627
120.0000,1581.3953,1517.4682
120.0000,1627.9070,1517.6686
120.0000,1674.4186,1517.8856
120.0000,1720.9302,1518.1424
120.0000,1767.4419,1518.4241
120.0000,1813.9535,1518.6906
120.0000,1860.4651,1518.8974
120.0000,1906.9767,1519.0098
120.0000,1953.4884,1519.0174
