y,x,val
0.0000,0.0000,1507.4633
0.0000,46.5116,1507.6680
0.0000,93.0233,1508.5678
0.0000,139.5349,1509.9437
0.0000,186.0465,1511.6549
0.0000,232.5581,1513.4951
0.0000,279.0698,1515.2406
0.0000,325.5814,1516.8154
0.0000,372.0930,1518.2412
0.0000,418.6047,1519.4457
0.0000,465.1163,1520.4005
0.0000,511.6279,1521.1895
0.0000,558.1395,1521.8346
0.0000,604.6512,1522.3703
0.0000,651.1628,1522.8478
0.0000,697.6744,1523.2774
0.0000,744.1860,1523.6910
0.0000,790.6977,1524.1191
0.0000,837.2093,1524.5325
0.0000,883.7209,1524.8927
0.0000,930.2326,1525.2023
0.0000,976.7442,1525.4430
0.0000,1023.2558,1525.6064
0.0000,1069.7674,1525.7922
0.0000,1116.2791,1526.0824
0.0000,1162.7907,1526.4946
0.0000,1209.3023,1526.9440
0.0000,1255.8140,1527.3580
0.0000,1302.3256,1527.6789
0.0000,1348.8372,1527.8983
0.0000,1395.3488,1528.0127
0.0000,1441.8605,1528.0088
0.0000,1488.3721,1527.8832
0.0000,1534.8837,1527.6233
0.0000,1581.3953,1527.1868
0.0000,1627.9070,1526.6042
0.0000,1674.4186,1525.8783
0.0000,1720.9302,1524.9218
0.0000,1767.4419,1523.7715
0.0000,1813.9535,1522.5813
0.0000,1860.4651,1521.5181
0.0000,1906.9767,1520.7164
0.0000,1953.4884,1520.4061
0.0000,2000.0000,1520.4061
40.0000,0.0000,1507.7530
40.0000,46.5116,1507.9045
40.0000,93.0233,1508.8192
40.0000,139.5349,1510.1745
40.0000,186.0465,1511.8497
40.0000,232.5581,1513.6636
40.0000,279.0698,1515.3143
40.0000,325.5814,1516.7926
40.0000,372.0930,1518.1737
40.0000,418.6047,1519.3174
40.0000,465.1163,1520.2253
40.0000,511.6279,1520.9971
40.0000,558.1395,1521.6153
40.0000,604.6512,1522.1261
40.0000,651.1628,1522.5900
40.0000,697.6744,1522.9873
40.0000,744.1860,1523.3689
40.0000,790.6977,1523.7861
40.0000,837.2093,1524.1881
40.0000,883.7209,1524.5410
40.0000,930.2326,1524.8474
40.0000,976.7442,1525.0756
40.0000,1023.2558,1525.2232
