y,x,val
0.0000,0.0000,-40.5799
0.0000,46.5116,-40.7706
0.0000,93.0233,-40.8787
0.0000,139.5349,-40.9310
0.0000,186.0465,-40.9605
0.0000,232.5581,-40.9864
0.0000,279.0698,-41.0130
0.0000,325.5814,-41.0345
0.0000,372.0930,-41.0459
0.0000,418.6047,-41.0312
0.0000,465.1163,-40.9639
0.0000,511.6279,-40.8330
0.0000,558.1395,-40.6301
0.0000,604.6512,-40.3378
0.0000,651.1628,-39.9650
0.0000,697.6744,-39.5351
0.0000,744.1860,-39.0624
0.0000,790.6977,-38.5746
0.0000,837.2093,-38.1108
0.0000,883.7209,-37.6993
0.0000,930.2326,-37.3535
0.0000,976.7442,-37.0991
0.0000,1023.2558,-36.9639
0.0000,1069.7674,-36.9361
0.0000,1116.2791,-37.0075
0.0000,1162.7907,-37.1775
0.0000,1209.3023,-37.4125
0.0000,1255.8140,-37.6685
0.0000,1302.3256,-37.8990
0.0000,1348.8372,-38.0755
0.0000,1395.3488,-38.1628
0.0000,1441.8605,-38.1181
0.0000,1488.3721,-37.9476
0.0000,1534.8837,-37.6699
0.0000,1581.3953,-37.3010
0.0000,1627.9070,-36.8692
0.0000,1674.4186,-36.4147
0.0000,1720.9302,-35.9746
0.0000,1767.4419,-35.5693
0.0000,1813.9535,-35.2299
0.0000,1860.4651,-34.9946
0.0000,1906.9767,-34.9114
0.0000,1953.4884,-35.0229
0.0000,2000.0000,-35.0229
40.0000,0.0000,-36.2368
40.0000,46.5116,-36.4202
40.0000,93.0233,-36.5058
40.0000,139.5349,-36.5299
40.0000,186.0465,-36.5319
40.0000,232.5581,-36.5366
40.0000,279.0698,-36.5469
40.0000,325.5814,-36.5586
40.0000,372.0930,-36.5657
40.0000,418.6047,-36.5522
40.0000,465.1163,-36.4887
40.0000,511.6279,-36.3593
40.0000,558.1395,-36.1622
40.0000,604.6512,-35.8745
40.0000,651.1628,-35.4983
40.0000,697.6744,-35.0695
40.0000,744.1860,-34.5978
40.0000,790.6977,-34.1057
40.0000,837.2093,-33.6425
40.0000,883.7209,-33.2307
40.0000,930.2326,-32.8786
40.0000,976.7442,-32.6149
40.0000,1023.2558,-32.4655
40.0000,1069.7674,-32.4211
40.0000,1116.2791,-32.4708
40.0000,1162.7907,-32.6222
40.0000,1209.3023,-32.8438
40.0000,1255.8140,-33.0891
40.0000,1302.3256,-33.3124
