y,x,val
0.0000,0.0000,1525.2594
0.0000,46.5116,1525.1416
0.0000,93.0233,1525.2555
0.0000,139.5349,1525.4693
0.0000,186.0465,1525.7251
0.0000,232.5581,1526.1428
0.0000,279.0698,1526.6092
0.0000,325.5814,1526.9625
0.0000,372.0930,1527.3732
0.0000,418.6047,1527.7945
0.0000,465.1163,1528.1193
0.0000,511.6279,1528.5348
0.0000,558.1395,1528.9763
0.0000,604.6512,1529.3010
0.0000,651.1628,1529.7090
0.0000,697.6744,1530.1371
0.0000,744.1860,1530.4330
0.0000,790.6977,1530.8586
0.0000,837.2093,1531.4173
0.0000,883.7209,1532.0130
0.0000,930.2326,1532.7947
0.0000,976.7442,1533.4902
0.0000,1023.2558,1533.6303
0.0000,1069.7674,1533.6820
0.0000,1116.2791,1533.8082
0.0000,1162.7907,1533.8918
0.0000,1209.3023,1534.1309
0.0000,1255.8140,1534.4725
0.0000,1302.3256,1534.6754
0.0000,1348.8372,1534.9569
0.0000,1395.3488,1535.3024
0.0000,1441.8605,1535.5015
0.0000,1488.3721,1535.7734
0.0000,1534.8837,1536.1256
0.0000,1581.3953,1536.3734
0.0000,1627.9070,1536.7291
0.0000,1674.4186,1537.2001
0.0000,1720.9302,1537.6049
0.0000,1767.4419,1538.1618
0.0000,1813.9535,1538.8490
0.0000,1860.4651,1539.3711
0.0000,1906.9767,1539.7718
0.0000,1953.4884,1540.0065
0.0000,2000.0000,1540.0065
40.0000,0.0000,1525.6748
40.0000,46.5116,1525.4380
40.0000,93.0233,1525.4839
40.0000,139.5349,1525.5963
40.0000,186.0465,1525.6888
40.0000,232.5581,1526.0638
40.0000,279.0698,1526.5147
40.0000,325.5814,1526.7535
40.0000,372.0930,1527.1536
40.0000,418.6047,1527.5850
40.0000,465.1163,1527.7872
40.0000,511.6279,1528.1885
40.0000,558.1395,1528.6397
40.0000,604.6512,1528.8368
40.0000,651.1628,1529.2300
40.0000,697.6744,1529.6712
40.0000,744.1860,1529.8287
40.0000,790.6977,1530.2252
40.0000,837.2093,1530.7858
40.0000,883.7209,1531.2730
40.0000,930.2326,1532.1305
40.0000,976.7442,1532.9680
40.0000,1023.2558,1532.9339
40.0000,1069.7674,1532.9283
40.0000,1116.2791,1533.1122
40.0000,1162.7907,1533.1326
40.0000,1209.3023,1533.4113
40.0000,1255.8140,1533.8637
40.0000,1302.3256,1534.0085
40.0000,1348.8372,1534.3236
40.0000,1395.3488,1534.7776
40.0000,1441.8605,1534.9186
40.0000,1488.3721,1535.2144
40.0000,1534.8837,1535.6622
40.0000,1581.3953,1535.8334
40.0000,1627.9070,1536.1931
40.0000,1674.4186,1536.7457
40.0000,1720.9302,1537.0945
40.0000,1767.4419,1537.7035
40.0000,1813.9535,1538.5735
40.0000,1860.4651,1539.1960
40.0000,1906.9767,1539.7256
40.0000,1953.4884,1540.1291
40.0000,2000.0000,1540.1291
80.0000,0.0000,1526.8916
80.0000,46.5116,1526.4955
80.0000,93.0233,1526.1586
80.0000,139.5349,1525.9971
80.0000,186.0465,1525.7942
80.0000,232.5581,1525.8911
80.0000,279.0698,1526.2205
80.0000,325.5814,1526.3149
80.0000,372.0930,1526.6011
80.0000,418.6047,1527.0253
80.0000,465.1163,1527.0809
80.0000,511.6279,1527.3193
80.0000,558.1395,1527.7287
80.0000,604.6512,1527.7677
80.0000,651.1628,1527.9962
80.0000,697.6744,1528.3975
80.0000,744.1860,1528.4080
80.0000,790.6977,1528.6616
80.0000,837.2093,1529.2204
80.0000,883.7209,1529.5985
80.0000,930.2326,1530.3862
80.0000,976.7442,1531.2941
80.0000,1023.2558,1531.1494
80.0000,1069.7674,1531.0730
80.0000,1116.2791,1531.3159
80.0000,1162.7907,1531.3079
80.0000,1209.3023,1531.6301
80.0000,1255.8140,1532.2176
80.0000,1302.3256,1532.3755
80.0000,1348.8372,1532.7572
80.0000,1395.3488,1533.3539
80.0000,1441.8605,1533.5058
80.0000,1488.3721,1533.8672
80.0000,1534.8837,1534.4361
80.0000,1581.3953,1534.5597
80.0000,1627.9070,1534.9152
80.0000,1674.4186,1535.5583
80.0000,1720.9302,1535.9231
80.0000,1767.4419,1536.6549
80.0000,1813.9535,1537.7748
80.0000,1860.4651,1538.6928
80.0000,1906.9767,1539.6510
80.0000,1953.4884,1540.2914
80.0000,2000.0000,1540.2914
120.0000,0.0000,1528.5092
120.0000,46.5116,1528.0189
120.0000,93.0233,1527.2197
120.0000,139.5349,1526.5808
120.0000,186.0465,1526.0070
120.0000,232.5581,1525.7055
120.0000,279.0698,1525.7541
120.0000,325.5814,1525.6931
120.0000,372.0930,1525.8096
120.0000,418.6047,1526.1164
120.0000,465.1163,1526.0633
120.0000,511.6279,1526.0893
120.0000,558.1395,1526.3172
120.0000,604.6512,1526.2129
120.0000,651.1628,1526.2138
120.0000,697.6744,1526.4345
120.0000,744.1860,1526.3143
120.0000,790.6977,1526.3896
120.0000,837.2093,1526.8576
120.0000,883.7209,1527.2326
120.0000,930.2326,1527.9144
120.0000,976.7442,1528.7261
120.0000,1023.2558,1528.5852
120.0000,1069.7674,1528.4378
120.0000,1116.2791,1528.6131
120.0000,1162.7907,1528.6529
120.0000,1209.3023,1529.0302
120.0000,1255.8140,1529.6976
120.0000,1302.3256,1529.9961
120.0000,1348.8372,1530.4805
120.0000,1395.3488,1531.1634
120.0000,1441.8605,1531.4548
120.0000,1488.3721,1531.9063
120.0000,1534.8837,1532.5184
120.0000,1581.3953,1532.7014
120.0000,1627.9070,1533.0751
120.0000,1674.4186,1533.7544
120.0000,1720.9302,1534.2808
120.0000,1767.4419,1535.2150
120.0000,1813.9535,1536.5982
120.0000,1860.4651,1538.0257
120.0000,1906.9767,1539.4782
120.0000,1953.4884,1540.2648
120.0000,2000.0000,1540.2648
160.0000,0.0000,1530.0973
160.0000,46.5116,1529.5445
160.0000,93.0233,1528.4578
160.0000,139.5349,1527.3046
160.0000,186.0465,1526.2231
160.0000,232.5581,1525.5388
160.0000,279.0698,1525.2441
160.0000,325.5814,1524.9122
160.0000,372.0930,1524.8685
160.0000,418.6047,1525.0156
160.0000,465.1163,1524.7801
160.0000,511.6279,1524.6536
160.0000,558.1395,1524.6611
160.0000,604.6512,1524.3080
160.0000,651.1628,1524.1132
160.0000,697.6744,1524.0997
160.0000,744.1860,1523.7490
160.0000,790.6977,1523.7022
160.0000,837.2093,1524.0746
160.0000,883.7209,1524.3910
160.0000,930.2326,1525.0510
160.0000,976.7442,1525.7826
160.0000,1023.2558,1525.5555
160.0000,1069.7674,1525.3421
160.0000,1116.2791,1525.4451
160.0000,1162.7907,1525.4663
160.0000,1209.3023,1525.9110
160.0000,1255.8140,1526.6949
160.0000,1302.3256,1527.1175
160.0000,1348.8372,1527.7390
160.0000,1395.3488,1528.5551
160.0000,1441.8605,1528.9591
160.0000,1488.3721,1529.5029
160.0000,1534.8837,1530.1823
160.0000,1581.3953,1530.4073
160.0000,1627.9070,1530.8405
160.0000,1674.4186,1531.6175
160.0000,1720.9302,1532.3201
160.0000,1767.4419,1533.5258
160.0000,1813.9535,1535.3022
160.0000,1860.4651,1537.2097
160.0000,1906.9767,1538.9637
160.0000,1953.4884,1539.8491
160.0000,2000.0000,1539.8491
200.0000,0.0000,1531.3751
200.0000,46.5116,1530.8006
200.0000,93.0233,1529.5327
200.0000,139.5349,1528.0148
200.0000,186.0465,1526.3974
200.0000,232.5581,1525.3448
200.0000,279.0698,1524.7861
200.0000,325.5814,1524.1009
200.0000,372.0930,1523.8827
200.0000,418.6047,1523.9380
200.0000,465.1163,1523.4477
200.0000,511.6279,1523.1757
200.0000,558.1395,1523.0539
200.0000,604.6512,1522.3620
200.0000,651.1628,1521.9569
200.0000,697.6744,1521.7818
200.0000,744.1860,1521.1091
200.0000,790.6977,1520.9305
200.0000,837.2093,1521.2908
200.0000,883.7209,1521.4655
200.0000,930.2326,1522.1333
200.0000,976.7442,1522.9301
200.0000,1023.2558,1522.4801
200.0000,1069.7674,1522.1611
200.0000,1116.2791,1522.2708
200.0000,1162.7907,1522.1699
200.0000,1209.3023,1522.6702
200.0000,1255.8140,1523.6580
200.0000,1302.3256,1524.1114
200.0000,1348.8372,1524.8644
200.0000,1395.3488,1525.9030
200.0000,1441.8605,1526.3092
200.0000,1488.3721,1526.9219
200.0000,1534.8837,1527.7451
200.0000,1581.3953,1527.9261
200.0000,1627.9070,1528.4209
200.0000,1674.4186,1529.3913
200.0000,1720.9302,1530.1956
200.0000,1767.4419,1531.6778
200.0000,1813.9535,1533.9165
200.0000,1860.4651,1536.1039
200.0000,1906.9767,1538.0144
200.0000,1953.4884,1538.9578
200.0000,2000.0000,1538.9578
240.0000,0.0000,1532.1406
240.0000,46.5116,1531.6054
240.0000,93.0233,1530.3440
240.0000,139.5349,1528.7238
240.0000,186.0465,1526.7340
240.0000,232.5581,1525.3682
240.0000,279.0698,1524.6625
