y,x,val
0.0000,0.0000,1525.7546
0.0000,46.5116,1525.6555
0.0000,93.0233,1525.8109
0.0000,139.5349,1526.0752
0.0000,186.0465,1526.3676
0.0000,232.5581,1526.8126
0.0000,279.0698,1527.3057
0.0000,325.5814,1527.6938
0.0000,372.0930,1528.1582
0.0000,418.6047,1528.6470
0.0000,465.1163,1529.0309
0.0000,511.6279,1529.5014
0.0000,558.1395,1529.9918
0.0000,604.6512,1530.3461
0.0000,651.1628,1530.7776
0.0000,697.6744,1531.2285
0.0000,744.1860,1531.5401
0.0000,790.6977,1531.9876
0.0000,837.2093,1532.5754
0.0000,883.7209,1533.1984
0.0000,930.2326,1534.0133
0.0000,976.7442,1534.7304
0.0000,1023.2558,1534.8452
0.0000,1069.7674,1534.8595
0.0000,1116.2791,1534.9525
0.0000,1162.7907,1535.0015
0.0000,1209.3023,1535.2166
0.0000,1255.8140,1535.5449
0.0000,1302.3256,1535.7341
0.0000,1348.8372,1536.0071
0.0000,1395.3488,1536.3432
0.0000,1441.8605,1536.5183
0.0000,1488.3721,1536.7606
0.0000,1534.8837,1537.0758
0.0000,1581.3953,1537.2748
0.0000,1627.9070,1537.5946
0.0000,1674.4186,1538.0506
0.0000,1720.9302,1538.4540
0.0000,1767.4419,1539.0214
0.0000,1813.9535,1539.7226
0.0000,1860.4651,1540.2507
0.0000,1906.9767,1540.6537
0.0000,1953.4884,1540.8850
0.0000,2000.0000,1540.8850
40.0000,0.0000,1526.1562
40.0000,46.5116,1525.9311
40.0000,93.0233,1526.0160
40.0000,139.5349,1526.1800
40.0000,186.0465,1526.3082
40.0000,232.5581,1526.7075
40.0000,279.0698,1527.1815
40.0000,325.5814,1527.4459
40.0000,372.0930,1527.8975
40.0000,418.6047,1528.4016
40.0000,465.1163,1528.6623
40.0000,511.6279,1529.1207
40.0000,558.1395,1529.6282
40.0000,604.6512,1529.8520
40.0000,651.1628,1530.2692
40.0000,697.6744,1530.7384
40.0000,744.1860,1530.9040
40.0000,790.6977,1531.3198
40.0000,837.2093,1531.9107
40.0000,883.7209,1532.4166
40.0000,930.2326,1533.3107
40.0000,976.7442,1534.1807
40.0000,1023.2558,1534.1109
40.0000,1069.7674,1534.0654
40.0000,1116.2791,1534.2240
40.0000,1162.7907,1534.2078
40.0000,1209.3023,1534.4650
40.0000,1255.8140,1534.9111
40.0000,1302.3256,1535.0382
40.0000,1348.8372,1535.3458
40.0000,1395.3488,1535.7939
40.0000,1441.8605,1535.9049
40.0000,1488.3721,1536.1697
40.0000,1534.8837,1536.5804
40.0000,1581.3953,1536.6962
