y,x,val
0.0000,0.0000,-23.1845
0.0000,46.5116,-23.3858
0.0000,93.0233,-23.3065
0.0000,139.5349,-23.0309
0.0000,186.0465,-22.4948
0.0000,232.5581,-21.7983
0.0000,279.0698,-21.1635
0.0000,325.5814,-20.7214
0.0000,372.0930,-20.3917
0.0000,418.6047,-20.1992
0.0000,465.1163,-20.1305
0.0000,511.6279,-20.0525
0.0000,558.1395,-19.9274
0.0000,604.6512,-19.6998
0.0000,651.1628,-19.3396
0.0000,697.6744,-18.9729
0.0000,744.1860,-18.7588
0.0000,790.6977,-18.6661
0.0000,837.2093,-18.7993
0.0000,883.7209,-19.3403
0.0000,930.2326,-19.9296
0.0000,976.7442,-20.1378
0.0000,1023.2558,-19.6045
0.0000,1069.7674,-18.6912
0.0000,1116.2791,-17.8493
0.0000,1162.7907,-17.4282
0.0000,1209.3023,-17.2342
0.0000,1255.8140,-17.1819
0.0000,1302.3256,-17.3003
0.0000,1348.8372,-17.4100
0.0000,1395.3488,-17.3936
0.0000,1441.8605,-17.2758
0.0000,1488.3721,-17.1069
0.0000,1534.8837,-16.9364
0.0000,1581.3953,-16.8775
0.0000,1627.9070,-16.9269
0.0000,1674.4186,-17.0924
0.0000,1720.9302,-17.4897
0.0000,1767.4419,-18.0096
0.0000,1813.9535,-18.4792
0.0000,1860.4651,-18.8399
0.0000,1906.9767,-19.1657
0.0000,1953.4884,-19.3933
0.0000,2000.0000,-19.3933
40.0000,0.0000,-18.5805
40.0000,46.5116,-18.7826
40.0000,93.0233,-18.6977
40.0000,139.5349,-18.4839
40.0000,186.0465,-18.0256
40.0000,232.5581,-17.3457
40.0000,279.0698,-16.7624
40.0000,325.5814,-16.3890
40.0000,372.0930,-16.0698
40.0000,418.6047,-15.9057
40.0000,465.1163,-15.8941
40.0000,511.6279,-15.8359
40.0000,558.1395,-15.7544
40.0000,604.6512,-15.5966
40.0000,651.1628,-15.2480
40.0000,697.6744,-14.8906
40.0000,744.1860,-14.7226
40.0000,790.6977,-14.6144
40.0000,837.2093,-14.6879
40.0000,883.7209,-15.2164
40.0000,930.2326,-15.8305
40.0000,976.7442,-16.0570
40.0000,1023.2558,-15.4946
40.0000,1069.7674,-14.5369
40.0000,1116.2791,-13.7051
40.0000,1162.7907,-13.3432
40.0000,1209.3023,-13.1497
40.0000,1255.8140,-13.0473
40.0000,1302.3256,-13.1520
40.0000,1348.8372,-13.2326
40.0000,1395.3488,-13.1374
40.0000,1441.8605,-12.9714
40.0000,1488.3721,-12.7732
40.0000,1534.8837,-12.5548
40.0000,1581.3953,-12.4794
40.0000,1627.9070,-12.5093
40.0000,1674.4186,-12.5977
40.0000,1720.9302,-12.9267
40.0000,1767.4419,-13.4007
40.0000,1813.9535,-13.7664
40.0000,1860.4651,-14.0213
40.0000,1906.9767,-14.3089
40.0000,1953.4884,-14.5159
40.0000,2000.0000,-14.5159
80.0000,0.0000,-13.5883
80.0000,46.5116,-13.7724
80.0000,93.0233,-13.7693
80.0000,139.5349,-13.6482
80.0000,186.0465,-13.4352
80.0000,232.5581,-13.1084
80.0000,279.0698,-12.7392
80.0000,325.5814,-12.4762
80.0000,372.0930,-12.2717
80.0000,418.6047,-12.1506
80.0000,465.1163,-12.1777
80.0000,511.6279,-12.1987
80.0000,558.1395,-12.1790
80.0000,604.6512,-12.1711
80.0000,651.1628,-12.0373
