y,x,val
0.0000,0.0000,1531.7530
0.0000,46.5116,1531.7925
0.0000,93.0233,1531.8726
0.0000,139.5349,1531.9831
0.0000,186.0465,1532.1270
0.0000,232.5581,1532.3714
0.0000,279.0698,1532.6841
0.0000,325.5814,1532.9799
0.0000,372.0930,1533.3016
0.0000,418.6047,1533.6122
0.0000,465.1163,1533.8155
0.0000,511.6279,1533.9543
0.0000,558.1395,1534.0138
0.0000,604.6512,1533.9321
0.0000,651.1628,1533.7856
0.0000,697.6744,1533.6160
0.0000,744.1860,1533.4463
0.0000,790.6977,1533.3700
0.0000,837.2093,1533.3921
0.0000,883.7209,1533.4711
0.0000,930.2326,1533.6764
0.0000,976.7442,1533.9859
0.0000,1023.2558,1534.3267
0.0000,1069.7674,1534.7774
0.0000,1116.2791,1535.3294
0.0000,1162.7907,1535.9160
0.0000,1209.3023,1536.5976
0.0000,1255.8140,1537.3476
0.0000,1302.3256,1538.0792
0.0000,1348.8372,1538.8017
0.0000,1395.3488,1539.4609
0.0000,1441.8605,1539.9884
0.0000,1488.3721,1540.4765
0.0000,1534.8837,1540.9293
0.0000,1581.3953,1541.3122
0.0000,1627.9070,1541.7489
0.0000,1674.4186,1542.2502
0.0000,1720.9302,1542.7513
0.0000,1767.4419,1543.3370
0.0000,1813.9535,1543.9657
0.0000,1860.4651,1544.4660
0.0000,1906.9767,1544.7763
0.0000,1953.4884,1544.8180
0.0000,2000.0000,1544.8180
40.0000,0.0000,1531.6988
40.0000,46.5116,1531.6965
40.0000,93.0233,1531.7379
40.0000,139.5349,1531.7976
40.0000,186.0465,1531.8642
40.0000,232.5581,1532.0783
40.0000,279.0698,1532.3859
40.0000,325.5814,1532.6496
40.0000,372.0930,1532.9774
40.0000,418.6047,1533.3212
40.0000,465.1163,1533.5179
40.0000,511.6279,1533.6758
40.0000,558.1395,1533.7742
40.0000,604.6512,1533.6815
40.0000,651.1628,1533.5359
40.0000,697.6744,1533.3698
40.0000,744.1860,1533.1529
40.0000,790.6977,1533.0652
40.0000,837.2093,1533.0922
40.0000,883.7209,1533.1292
40.0000,930.2326,1533.3318
40.0000,976.7442,1533.6587
40.0000,1023.2558,1533.9650
40.0000,1069.7674,1534.4189
40.0000,1116.2791,1534.9964
40.0000,1162.7907,1535.5567
40.0000,1209.3023,1536.2471
40.0000,1255.8140,1537.0270
40.0000,1302.3256,1537.7326
40.0000,1348.8372,1538.4515
40.0000,1395.3488,1539.1075
40.0000,1441.8605,1539.5729
40.0000,1488.3721,1540.0358
40.0000,1534.8837,1540.4758
40.0000,1581.3953,1540.7944
40.0000,1627.9070,1541.2157
40.0000,1674.4186,1541.7338
40.0000,1720.9302,1542.2197
40.0000,1767.4419,1542.8473
40.0000,1813.9535,1543.5761
40.0000,1860.4651,1544.1442
40.0000,1906.9767,1544.5174
40.0000,1953.4884,1544.6016
40.0000,2000.0000,1544.6016
80.0000,0.0000,1531.5776
80.0000,46.5116,1531.5063
80.0000,93.0233,1531.3977
80.0000,139.5349,1531.3340
80.0000,186.0465,1531.2591
80.0000,232.5581,1531.3415
80.0000,279.0698,1531.5773
80.0000,325.5814,1531.7875
80.0000,372.0930,1532.0980
80.0000,418.6047,1532.4642
80.0000,465.1163,1532.6729
80.0000,511.6279,1532.8694
80.0000,558.1395,1533.0292
80.0000,604.6512,1532.9629
80.0000,651.1628,1532.8522
80.0000,697.6744,1532.7268
80.0000,744.1860,1532.4698
80.0000,790.6977,1532.3329
80.0000,837.2093,1532.3481
80.0000,883.7209,1532.3318
80.0000,930.2326,1532.4911
80.0000,976.7442,1532.8189
80.0000,1023.2558,1533.0975
80.0000,1069.7674,1533.5426
80.0000,1116.2791,1534.1468
80.0000,1162.7907,1534.6896
80.0000,1209.3023,1535.3750
