y,x,val
0.0000,0.0000,-17.3070
0.0000,46.5116,-17.1482
0.0000,93.0233,-16.5745
0.0000,139.5349,-15.7565
0.0000,186.0465,-14.8888
0.0000,232.5581,-14.1647
0.0000,279.0698,-13.7313
0.0000,325.5814,-13.6740
0.0000,372.0930,-13.9868
0.0000,418.6047,-14.6262
0.0000,465.1163,-15.4962
0.0000,511.6279,-16.4211
0.0000,558.1395,-17.2391
0.0000,604.6512,-17.8039
0.0000,651.1628,-18.0164
0.0000,697.6744,-17.8294
0.0000,744.1860,-17.2541
0.0000,790.6977,-16.4195
0.0000,837.2093,-15.4867
0.0000,883.7209,-14.6434
0.0000,930.2326,-14.0634
0.0000,976.7442,-13.8579
0.0000,1023.2558,-14.0721
0.0000,1069.7674,-14.6483
0.0000,1116.2791,-15.4590
0.0000,1162.7907,-16.3093
0.0000,1209.3023,-17.0201
0.0000,1255.8140,-17.4378
0.0000,1302.3256,-17.4249
0.0000,1348.8372,-16.9767
0.0000,1395.3488,-16.1664
0.0000,1441.8605,-15.1238
0.0000,1488.3721,-14.0090
0.0000,1534.8837,-13.0098
0.0000,1581.3953,-12.3363
0.0000,1627.9070,-12.0793
0.0000,1674.4186,-12.2713
0.0000,1720.9302,-12.9081
0.0000,1767.4419,-13.8805
0.0000,1813.9535,-15.0167
0.0000,1860.4651,-16.1109
0.0000,1906.9767,-16.9974
0.0000,1953.4884,-17.5265
0.0000,2000.0000,-17.5265
40.0000,0.0000,-13.2416
40.0000,46.5116,-13.0618
40.0000,93.0233,-12.4322
40.0000,139.5349,-11.5447
40.0000,186.0465,-10.6068
40.0000,232.5581,-9.8356
40.0000,279.0698,-9.3856
40.0000,325.5814,-9.3369
40.0000,372.0930,-9.6758
40.0000,418.6047,-10.3648
40.0000,465.1163,-11.2922
40.0000,511.6279,-12.2651
40.0000,558.1395,-13.1217
40.0000,604.6512,-13.7023
40.0000,651.1628,-13.9042
40.0000,697.6744,-13.6782
40.0000,744.1860,-13.0349
40.0000,790.6977,-12.1180
40.0000,837.2093,-11.0900
40.0000,883.7209,-10.1554
40.0000,930.2326,-9.5151
40.0000,976.7442,-9.2816
40.0000,1023.2558,-9.4972
40.0000,1069.7674,-10.1100
40.0000,1116.2791,-10.9931
40.0000,1162.7907,-11.9236
40.0000,1209.3023,-12.7056
40.0000,1255.8140,-13.1893
40.0000,1302.3256,-13.2116
40.0000,1348.8372,-12.7612
40.0000,1395.3488,-11.9198
40.0000,1441.8605,-10.8194
40.0000,1488.3721,-9.6304
40.0000,1534.8837,-8.5427
40.0000,1581.3953,-7.7894
40.0000,1627.9070,-7.4779
