y,x,val
0.0000,0.0000,-44.5413
0.0000,46.5116,-44.7003
0.0000,93.0233,-44.7072
0.0000,139.5349,-44.6033
0.0000,186.0465,-44.4101
0.0000,232.5581,-44.1813
0.0000,279.0698,-43.9574
0.0000,325.5814,-43.7401
0.0000,372.0930,-43.5423
0.0000,418.6047,-43.3777
0.0000,465.1163,-43.2280
0.0000,511.6279,-43.0878
0.0000,558.1395,-42.9629
0.0000,604.6512,-42.8360
0.0000,651.1628,-42.7048
0.0000,697.6744,-42.5805
0.0000,744.1860,-42.4513
0.0000,790.6977,-42.3162
0.0000,837.2093,-42.1890
0.0000,883.7209,-42.0598
0.0000,930.2326,-41.9244
0.0000,976.7442,-41.7959
0.0000,1023.2558,-41.6658
0.0000,1069.7674,-41.5269
0.0000,1116.2791,-41.3924
0.0000,1162.7907,-41.2565
0.0000,1209.3023,-41.1110
0.0000,1255.8140,-40.9700
0.0000,1302.3256,-40.8317
0.0000,1348.8372,-40.6855
0.0000,1395.3488,-40.5434
0.0000,1441.8605,-40.4029
0.0000,1488.3721,-40.2477
0.0000,1534.8837,-40.0843
0.0000,1581.3953,-39.9068
0.0000,1627.9070,-39.6958
0.0000,1674.4186,-39.4631
0.0000,1720.9302,-39.2187
0.0000,1767.4419,-38.9592
0.0000,1813.9535,-38.7248
0.0000,1860.4651,-38.5753
0.0000,1906.9767,-38.5473
0.0000,1953.4884,-38.6936
0.0000,2000.0000,-38.6936
40.0000,0.0000,-40.1746
40.0000,46.5116,-40.3193
40.0000,93.0233,-40.3014
40.0000,139.5349,-40.1782
40.0000,186.0465,-39.9623
40.0000,232.5581,-39.7155
40.0000,279.0698,-39.4904
40.0000,325.5814,-39.2687
40.0000,372.0930,-39.0640
40.0000,418.6047,-38.9054
40.0000,465.1163,-38.7554
40.0000,511.6279,-38.6074
40.0000,558.1395,-38.4845
40.0000,604.6512,-38.3539
40.0000,651.1628,-38.2112
40.0000,697.6744,-38.0859
40.0000,744.1860,-37.9523
40.0000,790.6977,-37.8050
40.0000,837.2093,-37.6765
40.0000,883.7209,-37.5444
40.0000,930.2326,-37.3973
40.0000,976.7442,-37.2675
40.0000,1023.2558,-37.1356
40.0000,1069.7674,-36.9850
40.0000,1116.2791,-36.8482
40.0000,1162.7907,-36.7108
40.0000,1209.3023,-36.5532
40.0000,1255.8140,-36.4086
40.0000,1302.3256,-36.2691
40.0000,1348.8372,-36.1117
40.0000,1395.3488,-35.9665
40.0000,1441.8605,-35.8281
40.0000,1488.3721,-35.6655
40.0000,1534.8837,-35.5028
40.0000,1581.3953,-35.3324
40.0000,1627.9070,-35.1159
40.0000,1674.4186,-34.8807
40.0000,1720.9302,-34.6367
40.0000,1767.4419,-34.3589
40.0000,1813.9535,-34.0985
40.0000,1860.4651,-33.9272
40.0000,1906.9767,-33.8736
40.0000,1953.4884,-34.0078
40.0000,2000.0000,-34.0078
80.0000,0.0000,-35.8660
80.0000,46.5116,-35.9863
80.0000,93.0233,-35.9465
80.0000,139.5349,-35.8045
80.0000,186.0465,-35.5842
80.0000,232.5581,-35.3531
80.0000,279.0698,-35.1396
80.0000,325.5814,-34.9289
80.0000,372.0930,-34.7511
80.0000,418.6047,-34.6074
80.0000,465.1163,-34.4645
80.0000,511.6279,-34.3351
80.0000,558.1395,-34.2172
80.0000,604.6512,-34.0875
80.0000,651.1628,-33.9589
80.0000,697.6744,-33.8347
80.0000,744.1860,-33.7011
80.0000,790.6977,-33.5687
80.0000,837.2093,-33.4418
80.0000,883.7209,-33.3107
80.0000,930.2326,-33.1796
80.0000,976.7442,-33.0520
80.0000,1023.2558,-32.9217
80.0000,1069.7674,-32.7873
80.0000,1116.2791,-32.6523
80.0000,1162.7907,-32.5167
80.0000,1209.3023,-32.3748
80.0000,1255.8140,-32.2313
80.0000,1302.3256,-32.0936
80.0000,1348.8372,-31.9513
80.0000,1395.3488,-31.8085
80.0000,1441.8605,-31.6765
80.0000,1488.3721,-31.5344
80.0000,1534.8837,-31.3807
80.0000,1581.3953,-31.2273
80.0000,1627.9070,-31.0405
80.0000,1674.4186,-30.8181
80.0000,1720.9302,-30.5850
80.0000,1767.4419,-30.3193
80.0000,1813.9535,-30.0531
80.0000,1860.4651,-29.8692
80.0000,1906.9767,-29.8024
80.0000,1953.4884,-29.9168
80.0000,2000.0000,-29.9168
120.0000,0.0000,-31.6326
120.0000,46.5116,-31.7270
120.0000,93.0233,-31.6690
120.0000,139.5349,-31.5151
120.0000,186.0465,-31.3075
120.0000,232.5581,-31.1067
120.0000,279.0698,-30.9164
120.0000,325.5814,-30.7369
120.0000,372.0930,-30.6007
120.0000,418.6047,-30.4806
120.0000,465.1163,-30.3589
120.0000,511.6279,-30.2589
120.0000,558.1395,-30.1542
120.0000,604.6512,-30.0368
120.0000,651.1628,-29.9319
120.0000,697.6744,-29.8171
120.0000,744.1860,-29.6946
120.0000,790.6977,-29.5870
120.0000,837.2093,-29.4707
120.0000,883.7209,-29.3512
120.0000,930.2326,-29.2462
120.0000,976.7442,-29.1301
120.0000,1023.2558,-29.0116
120.0000,1069.7674,-28.9037
120.0000,1116.2791,-28.7808
120.0000,1162.7907,-28.6566
120.0000,1209.3023,-28.5407
120.0000,1255.8140,-28.4097
120.0000,1302.3256,-28.2830
120.0000,1348.8372,-28.1663
120.0000,1395.3488,-28.0381
120.0000,1441.8605,-27.9218
120.0000,1488.3721,-27.8119
120.0000,1534.8837,-27.6822
120.0000,1581.3953,-27.5558
120.0000,1627.9070,-27.4129
120.0000,1674.4186,-27.2217
120.0000,1720.9302,-27.0077
120.0000,1767.4419,-26.7710
120.0000,1813.9535,-26.5240
