y,x,val
0.0000,0.0000,1507.0652
0.0000,46.5116,1507.0667
0.0000,93.0233,1507.1076
0.0000,139.5349,1507.1760
0.0000,186.0465,1507.2566
0.0000,232.5581,1507.3472
0.0000,279.0698,1507.4526
0.0000,325.5814,1507.5799
0.0000,372.0930,1507.7282
0.0000,418.6047,1507.9005
0.0000,465.1163,1508.1033
0.0000,511.6279,1508.3296
0.0000,558.1395,1508.5763
0.0000,604.6512,1508.8479
0.0000,651.1628,1509.1417
0.0000,697.6744,1509.4543
0.0000,744.1860,1509.7892
0.0000,790.6977,1510.1439
0.0000,837.2093,1510.5114
0.0000,883.7209,1510.8899
0.0000,930.2326,1511.2742
0.0000,976.7442,1511.6527
0.0000,1023.2558,1512.0183
0.0000,1069.7674,1512.3698
0.0000,1116.2791,1512.6999
0.0000,1162.7907,1513.0045
0.0000,1209.3023,1513.2917
0.0000,1255.8140,1513.5667
0.0000,1302.3256,1513.8383
0.0000,1348.8372,1514.1210
0.0000,1395.3488,1514.4274
0.0000,1441.8605,1514.7757
0.0000,1488.3721,1515.1758
0.0000,1534.8837,1515.6311
0.0000,1581.3953,1516.1498
0.0000,1627.9070,1516.7295
0.0000,1674.4186,1517.3547
0.0000,1720.9302,1518.0092
0.0000,1767.4419,1518.6679
0.0000,1813.9535,1519.2854
0.0000,1860.4651,1519.8019
0.0000,1906.9767,1520.1416
0.0000,1953.4884,1520.2378
0.0000,2000.0000,1520.2378
40.0000,0.0000,1507.0977
40.0000,46.5116,1507.0991
40.0000,93.0233,1507.1463
40.0000,139.5349,1507.2243
40.0000,186.0465,1507.3124
40.0000,232.5581,1507.4075
40.0000,279.0698,1507.5161
40.0000,325.5814,1507.6445
40.0000,372.0930,1507.7914
40.0000,418.6047,1507.9609
40.0000,465.1163,1508.1613
40.0000,511.6279,1508.3839
40.0000,558.1395,1508.6238
40.0000,604.6512,1508.8900
40.0000,651.1628,1509.1797
40.0000,697.6744,1509.4856
40.0000,744.1860,1509.8150
40.0000,790.6977,1510.1668
40.0000,837.2093,1510.5293
40.0000,883.7209,1510.9027
40.0000,930.2326,1511.2851
40.0000,976.7442,1511.6598
40.0000,1023.2558,1512.0205
40.0000,1069.7674,1512.3704
40.0000,1116.2791,1512.6977
40.0000,1162.7907,1512.9977
40.0000,1209.3023,1513.2818
40.0000,1255.8140,1513.5519
40.0000,1302.3256,1513.8163
40.0000,1348.8372,1514.0921
40.0000,1395.3488,1514.3883
40.0000,1441.8605,1514.7251
40.0000,1488.3721,1515.1159
40.0000,1534.8837,1515.5590
40.0000,1581.3953,1516.0675
40.0000,1627.9070,1516.6427
40.0000,1674.4186,1517.2635
40.0000,1720.9302,1517.9201
40.0000,1767.4419,1518.5904
40.0000,1813.9535,1519.2248
40.0000,1860.4651,1519.7584
40.0000,1906.9767,1520.1079
40.0000,1953.4884,1520.1903
40.0000,2000.0000,1520.1903
80.0000,0.0000,1507.2077
80.0000,46.5116,1507.2138
80.0000,93.0233,1507.2724
80.0000,139.5349,1507.3650
80.0000,186.0465,1507.4709
80.0000,232.5581,1507.5858
80.0000,279.0698,1507.7080
80.0000,325.5814,1507.8390
80.0000,372.0930,1507.9844
80.0000,418.6047,1508.1492
80.0000,465.1163,1508.3382
80.0000,511.6279,1508.5452
80.0000,558.1395,1508.7707
80.0000,604.6512,1509.0223
80.0000,651.1628,1509.2949
80.0000,697.6744,1509.5871
80.0000,744.1860,1509.9025
80.0000,790.6977,1510.2374
80.0000,837.2093,1510.5868
80.0000,883.7209,1510.9449
80.0000,930.2326,1511.3083
80.0000,976.7442,1511.6694
80.0000,1023.2558,1512.0177
80.0000,1069.7674,1512.3531
80.0000,1116.2791,1512.6714
80.0000,1162.7907,1512.9659
80.0000,1209.3023,1513.2434
80.0000,1255.8140,1513.5085
80.0000,1302.3256,1513.7658
80.0000,1348.8372,1514.0302
80.0000,1395.3488,1514.3141
80.0000,1441.8605,1514.6299
80.0000,1488.3721,1514.9923
80.0000,1534.8837,1515.4108
80.0000,1581.3953,1515.8929
80.0000,1627.9070,1516.4372
80.0000,1674.4186,1517.0378
80.0000,1720.9302,1517.6858
80.0000,1767.4419,1518.3522
80.0000,1813.9535,1518.9839
80.0000,1860.4651,1519.5049
80.0000,1906.9767,1519.8298
80.0000,1953.4884,1519.8998
80.0000,2000.0000,1519.8998
120.0000,0.0000,1507.3934
120.0000,46.5116,1507.4075
120.0000,93.0233,1507.4816
120.0000,139.5349,1507.5943
120.0000,186.0465,1507.7263
120.0000,232.5581,1507.8686
120.0000,279.0698,1508.0098
120.0000,325.5814,1508.1491
120.0000,372.0930,1508.2927
120.0000,418.6047,1508.4464
120.0000,465.1163,1508.6171
120.0000,511.6279,1508.8007
120.0000,558.1395,1509.0037
120.0000,604.6512,1509.2319
120.0000,651.1628,1509.4790
120.0000,697.6744,1509.7494
120.0000,744.1860,1510.0428
120.0000,790.6977,1510.3520
120.0000,837.2093,1510.6778
120.0000,883.7209,1511.0114
120.0000,930.2326,1511.3458
120.0000,976.7442,1511.6826
120.0000,1023.2558,1512.0096
120.0000,1069.7674,1512.3232
120.0000,1116.2791,1512.6265
120.0000,1162.7907,1512.9108
120.0000,1209.3023,1513.1787
120.0000,1255.8140,1513.4367
120.0000,1302.3256,1513.6848
120.0000,1348.8372,1513.9340
120.0000,1395.3488,1514.1991
120.0000,1441.8605,1514.4865
120.0000,1488.3721,1514.8094
120.0000,1534.8837,1515.1893
120.0000,1581.3953,1515.6304
