y,x,val
0.0000,0.0000,1509.8774
0.0000,46.5116,1510.0236
0.0000,93.0233,1510.6587
0.0000,139.5349,1511.6460
0.0000,186.0465,1512.8702
0.0000,232.5581,1514.1326
0.0000,279.0698,1515.2608
0.0000,325.5814,1516.1673
0.0000,372.0930,1516.7947
0.0000,418.6047,1517.0985
0.0000,465.1163,1517.1034
0.0000,511.6279,1516.9675
0.0000,558.1395,1516.8813
0.0000,604.6512,1517.0651
0.0000,651.1628,1517.5748
0.0000,697.6744,1518.4521
0.0000,744.1860,1519.7574
0.0000,790.6977,1521.2930
0.0000,837.2093,1522.8104
0.0000,883.7209,1524.0984
0.0000,930.2326,1525.0087
0.0000,976.7442,1525.3906
0.0000,1023.2558,1525.1393
0.0000,1069.7674,1524.4222
0.0000,1116.2791,1523.4416
0.0000,1162.7907,1522.3787
0.0000,1209.3023,1521.4296
0.0000,1255.8140,1520.8213
0.0000,1302.3256,1520.7242
0.0000,1348.8372,1521.0136
0.0000,1395.3488,1521.5793
0.0000,1441.8605,1522.3100
0.0000,1488.3721,1522.9464
0.0000,1534.8837,1523.2416
0.0000,1581.3953,1522.9754
0.0000,1627.9070,1522.1625
0.0000,1674.4186,1520.8897
0.0000,1720.9302,1519.2284
0.0000,1767.4419,1517.3272
0.0000,1813.9535,1515.4649
0.0000,1860.4651,1513.9547
0.0000,1906.9767,1512.9724
0.0000,1953.4884,1512.7117
0.0000,2000.0000,1512.7117
40.0000,0.0000,1510.0852
40.0000,46.5116,1510.2203
40.0000,93.0233,1510.8832
40.0000,139.5349,1511.8932
40.0000,186.0465,1513.1389
40.0000,232.5581,1514.4089
40.0000,279.0698,1515.5051
40.0000,325.5814,1516.3791
40.0000,372.0930,1516.9736
40.0000,418.6047,1517.2207
40.0000,465.1163,1517.1837
40.0000,511.6279,1516.9981
40.0000,558.1395,1516.8489
40.0000,604.6512,1517.0032
40.0000,651.1628,1517.4861
40.0000,697.6744,1518.3218
40.0000,744.1860,1519.6311
40.0000,790.6977,1521.1893
40.0000,837.2093,1522.7083
40.0000,883.7209,1524.0082
40.0000,930.2326,1524.9320
40.0000,976.7442,1525.3076
40.0000,1023.2558,1525.0313
40.0000,1069.7674,1524.2750
40.0000,1116.2791,1523.2664
40.0000,1162.7907,1522.1972
40.0000,1209.3023,1521.2247
40.0000,1255.8140,1520.6126
40.0000,1302.3256,1520.5591
40.0000,1348.8372,1520.8760
40.0000,1395.3488,1521.4636
40.0000,1441.8605,1522.2462
40.0000,1488.3721,1522.9286
40.0000,1534.8837,1523.2667
40.0000,1581.3953,1523.0594
40.0000,1627.9070,1522.2845
40.0000,1674.4186,1521.0656
40.0000,1720.9302,1519.4594
40.0000,1767.4419,1517.5534
40.0000,1813.9535,1515.6679
40.0000,1860.4651,1514.1466
40.0000,1906.9767,1513.1485
40.0000,1953.4884,1512.9240
40.0000,2000.0000,1512.9240
80.0000,0.0000,1510.9592
80.0000,46.5116,1511.1047
80.0000,93.0233,1511.7577
80.0000,139.5349,1512.7443
80.0000,186.0465,1513.9045
80.0000,232.5581,1515.0271
80.0000,279.0698,1515.9825
80.0000,325.5814,1516.7290
80.0000,372.0930,1517.1607
80.0000,418.6047,1517.2909
80.0000,465.1163,1517.2610
80.0000,511.6279,1517.1054
80.0000,558.1395,1516.9649
80.0000,604.6512,1517.1025
80.0000,651.1628,1517.5348
80.0000,697.6744,1518.3052
80.0000,744.1860,1519.4950
80.0000,790.6977,1520.8724
80.0000,837.2093,1522.2459
80.0000,883.7209,1523.4624
80.0000,930.2326,1524.2817
80.0000,976.7442,1524.5798
80.0000,1023.2558,1524.3468
80.0000,1069.7674,1523.6676
80.0000,1116.2791,1522.7195
80.0000,1162.7907,1521.7735
80.0000,1209.3023,1520.9640
80.0000,1255.8140,1520.4500
80.0000,1302.3256,1520.4193
80.0000,1348.8372,1520.7275
80.0000,1395.3488,1521.2740
80.0000,1441.8605,1521.9890
80.0000,1488.3721,1522.5749
80.0000,1534.8837,1522.8639
