y,x,val
0.0000,0.0000,46.8678
0.0000,133.3333,47.2938
0.0000,266.6667,47.2856
0.0000,400.0000,46.9307
0.0000,533.3333,46.2964
0.0000,666.6667,45.4211
0.0000,800.0000,44.3727
0.0000,933.3333,43.2372
0.0000,1066.6667,42.0903
0.0000,1200.0000,41.0256
0.0000,1333.3333,40.1338
0.0000,1466.6667,39.4750
0.0000,1600.0000,39.1007
0.0000,1733.3333,39.0854
0.0000,1866.6667,39.5194
0.0000,2000.0000,39.5194
40.0000,0.0000,42.4993
40.0000,133.3333,42.8769
40.0000,266.6667,42.8083
40.0000,400.0000,42.4090
40.0000,533.3333,41.7547
40.0000,666.6667,40.8726
40.0000,800.0000,39.8337
40.0000,933.3333,38.7183
40.0000,1066.6667,37.5891
40.0000,1200.0000,36.5360
40.0000,1333.3333,35.6424
40.0000,1466.6667,34.9651
40.0000,1600.0000,34.5512
40.0000,1733.3333,34.4779
40.0000,1866.6667,34.8622
40.0000,2000.0000,34.8622
80.0000,0.0000,38.1226
80.0000,133.3333,38.4388
80.0000,266.6667,38.3320
80.0000,400.0000,37.9261
80.0000,533.3333,37.3017
80.0000,666.6667,36.4829
80.0000,800.0000,35.5365
80.0000,933.3333,34.5309
80.0000,1066.6667,33.5118
80.0000,1200.0000,32.5549
80.0000,1333.3333,31.7296
80.0000,1466.6667,31.0873
80.0000,1600.0000,30.6727
80.0000,1733.3333,30.5642
80.0000,1866.6667,30.8848
80.0000,2000.0000,30.8848
120.0000,0.0000,33.8248
120.0000,133.3333,34.0906
120.0000,266.6667,33.9688
120.0000,400.0000,33.5868
120.0000,533.3333,33.0278
120.0000,666.6667,32.3140
120.0000,800.0000,31.5055
120.0000,933.3333,30.6562
120.0000,1066.6667,29.7948
120.0000,1200.0000,28.9784
120.0000,1333.3333,28.2612
120.0000,1466.6667,27.6883
120.0000,1600.0000,27.3017
120.0000,1733.3333,27.1799
120.0000,1866.6667,27.4480
120.0000,2000.0000,27.4480
160.0000,0.0000,29.6771
160.0000,133.3333,29.9068
160.0000,266.6667,29.7899
160.0000,400.0000,29.4535
160.0000,533.3333,28.9814
160.0000,666.6667,28.3941
160.0000,800.0000,27.7452
160.0000,933.3333,27.0726
160.0000,1066.6667,26.3898
160.0000,1200.0000,25.7344
160.0000,1333.3333,25.1436
160.0000,1466.6667,24.6591
160.0000,1600.0000,24.3198
160.0000,1733.3333,24.2031
160.0000,1866.6667,24.4332
160.0000,2000.0000,24.4332
200.0000,0.0000,25.7300
200.0000,133.3333,25.9353
200.0000,266.6667,25.8384
200.0000,400.0000,25.5610
200.0000,533.3333,25.1860
200.0000,666.6667,24.7323
200.0000,800.0000,24.2494
200.0000,933.3333,23.7558
200.0000,1066.6667,23.2559
200.0000,1200.0000,22.7672
200.0000,1333.3333,22.3076
200.0000,1466.6667,21.9207
200.0000,1600.0000,21.6408
200.0000,1733.3333,21.5433
200.0000,1866.6667,21.7480
200.0000,2000.0000,21.7480
240.0000,0.0000,22.0155
240.0000,133.3333,22.2038
240.0000,266.6667,22.1349
240.0000,400.0000,21.9245
240.0000,533.3333,21.6501
240.0000,666.6667,21.3296
240.0000,800.0000,21.0051
240.0000,933.3333,20.6799
240.0000,1066.6667,20.3514
