y,x,val
0.0000,0.0000,44.5636
0.0000,133.3333,45.3313
0.0000,266.6667,45.6151
0.0000,400.0000,45.5524
0.0000,533.3333,45.2277
0.0000,666.6667,44.7001
0.0000,800.0000,43.9698
0.0000,933.3333,43.1311
0.0000,1066.6667,42.3022
0.0000,1200.0000,41.6691
0.0000,1333.3333,41.3080
0.0000,1466.6667,41.0933
0.0000,1600.0000,41.0131
0.0000,1733.3333,41.0508
0.0000,1866.6667,41.2763
0.0000,2000.0000,41.2763
40.0000,0.0000,39.5380
40.0000,133.3333,40.2186
40.0000,266.6667,40.3948
40.0000,400.0000,40.2530
40.0000,533.3333,39.8948
40.0000,666.6667,39.4098
40.0000,800.0000,38.7640
40.0000,933.3333,38.0270
40.0000,1066.6667,37.2810
40.0000,1200.0000,36.7229
40.0000,1333.3333,36.4049
40.0000,1466.6667,36.1452
40.0000,1600.0000,35.9970
40.0000,1733.3333,35.9485
40.0000,1866.6667,36.1016
40.0000,2000.0000,36.1016
80.0000,0.0000,33.6556
80.0000,133.3333,34.1839
80.0000,266.6667,34.2523
80.0000,400.0000,34.0622
80.0000,533.3333,33.7357
80.0000,666.6667,33.3789
80.0000,800.0000,32.9380
80.0000,933.3333,32.4424
80.0000,1066.6667,31.9243
80.0000,1200.0000,31.5438
80.0000,1333.3333,31.3191
80.0000,1466.6667,31.0572
80.0000,1600.0000,30.8555
80.0000,1733.3333,30.7371
80.0000,1866.6667,30.8408
80.0000,2000.0000,30.8408
120.0000,0.0000,27.2592
120.0000,133.3333,27.6414
120.0000,266.6667,27.6240
120.0000,400.0000,27.4207
120.0000,533.3333,27.1697
120.0000,666.6667,26.9790
120.0000,800.0000,26.7799
120.0000,933.3333,26.5659
120.0000,1066.6667,26.3183
120.0000,1200.0000,26.1469
120.0000,1333.3333,26.0417
120.0000,1466.6667,25.8162
120.0000,1600.0000,25.5926
120.0000,1733.3333,25.4315
120.0000,1866.6667,25.5057
120.0000,2000.0000,25.5057
160.0000,0.0000,20.6689
160.0000,133.3333,20.9282
160.0000,266.6667,20.8515
160.0000,400.0000,20.6598
160.0000,533.3333,20.5067
160.0000,666.6667,20.4827
160.0000,800.0000,20.5133
160.0000,933.3333,20.5679
160.0000,1066.6667,20.5837
160.0000,1200.0000,20.6115
160.0000,1333.3333,20.6231
160.0000,1466.6667,20.4577
160.0000,1600.0000,20.2364
160.0000,1733.3333,20.0571
160.0000,1866.6667,20.1207
160.0000,2000.0000,20.1207
200.0000,0.0000,14.1579
200.0000,133.3333,14.3199
200.0000,266.6667,14.2085
200.0000,400.0000,14.0403
200.0000,533.3333,13.9951
200.0000,666.6667,14.1092
200.0000,800.0000,14.3211
200.0000,933.3333,14.5937
200.0000,1066.6667,14.8354
200.0000,1200.0000,15.0233
200.0000,1333.3333,15.1242
200.0000,1466.6667,15.0393
200.0000,1600.0000,14.8347
200.0000,1733.3333,14.6594
200.0000,1866.6667,14.7337
200.0000,2000.0000,14.7337
240.0000,0.0000,7.9477
240.0000,133.3333,8.0357
240.0000,266.6667,7.9133
240.0000,400.0000,7.7851
240.0000,533.3333,7.8430
240.0000,666.6667,8.0559
240.0000,800.0000,8.3674
240.0000,933.3333,8.7651
240.0000,1066.6667,9.1394
240.0000,1200.0000,9.4202
240.0000,1333.3333,9.6026
240.0000,1466.6667,9.6127
240.0000,1600.0000,9.4503
240.0000,1733.3333,9.3139
240.0000,1866.6667,9.4243
240.0000,2000.0000,9.4243
280.0000,0.0000,2.2111
280.0000,133.3333,2.2403
280.0000,266.6667,2.1098
280.0000,400.0000,2.0152
280.0000,533.3333,2.1401
280.0000,666.6667,2.4175
280.0000,800.0000,2.7880
280.0000,933.3333,3.2530
280.0000,1066.6667,3.6981
280.0000,1200.0000,4.0384
280.0000,1333.3333,4.2831
280.0000,1466.6667,4.3641
280.0000,1600.0000,4.2527
280.0000,1733.3333,4.1616
280.0000,1866.6667,4.3123
280.0000,2000.0000,4.3123
320.0000,0.0000,2.9191
320.0000,133.3333,2.9393
320.0000,266.6667,3.0819
320.0000,400.0000,3.1597
320.0000,533.3333,3.0004
320.0000,666.6667,2.6902
320.0000,800.0000,2.2924
320.0000,933.3333,1.7995
320.0000,1066.6667,1.3242
320.0000,1200.0000,0.9530
320.0000,1333.3333,0.6702
320.0000,1466.6667,0.5434
320.0000,1600.0000,0.6127
320.0000,1733.3333,0.6644
320.0000,1866.6667,0.4781
320.0000,2000.0000,0.4781
360.0000,0.0000,7.3406
360.0000,133.3333,7.4033
360.0000,266.6667,7.5632
360.0000,400.0000,7.6407
360.0000,533.3333,7.4736
360.0000,666.6667,7.1589
360.0000,800.0000,6.7627
360.0000,933.3333,6.2734
360.0000,1066.6667,5.7995
360.0000,1200.0000,5.4244
360.0000,1333.3333,5.1282
360.0000,1466.6667,4.9790
360.0000,1600.0000,5.0219
360.0000,1733.3333,5.0458
360.0000,1866.6667,4.8321
360.0000,2000.0000,4.8321
400.0000,0.0000,10.9787
400.0000,133.3333,11.0767
400.0000,266.6667,11.2571
400.0000,400.0000,11.3470
400.0000,533.3333,11.1929
400.0000,666.6667,10.8987
400.0000,800.0000,10.5313
400.0000,933.3333,10.0742
400.0000,1066.6667,9.6297
400.0000,1200.0000,9.2763
400.0000,1333.3333,8.9905
400.0000,1466.6667,8.8402
400.0000,1600.0000,8.8738
400.0000,1733.3333,8.8829
400.0000,1866.6667,8.6514
400.0000,2000.0000,8.6514
440.0000,0.0000,13.7846
440.0000,133.3333,13.9096
440.0000,266.6667,14.1102
440.0000,400.0000,14.2200
440.0000,533.3333,14.0943
440.0000,666.6667,13.8423
440.0000,800.0000,13.5298
440.0000,933.3333,13.1323
440.0000,1066.6667,12.7438
440.0000,1200.0000,12.4364
440.0000,1333.3333,12.1828
440.0000,1466.6667,12.0506
440.0000,1600.0000,12.0904
440.0000,1733.3333,12.0973
440.0000,1866.6667,11.8579
440.0000,2000.0000,11.8579
480.0000,0.0000,15.7369
480.0000,133.3333,15.8791
480.0000,266.6667,16.0955
480.0000,400.0000,16.2266
480.0000,533.3333,16.1383
480.0000,666.6667,15.9473
480.0000,800.0000,15.7154
480.0000,933.3333,15.4041
480.0000,1066.6667,15.0964
480.0000,1200.0000,14.8582
480.0000,1333.3333,14.6560
480.0000,1466.6667,14.5577
480.0000,1600.0000,14.6169
480.0000,1733.3333,14.6325
480.0000,1866.6667,14.3943
480.0000,2000.0000,14.3943
520.0000,0.0000,16.8421
520.0000,133.3333,16.9909
520.0000,266.6667,17.2149
520.0000,400.0000,17.3616
520.0000,533.3333,17.3124
520.0000,666.6667,17.1971
520.0000,800.0000,17.0723
520.0000,933.3333,16.8724
520.0000,1066.6667,16.6672
520.0000,1200.0000,16.5197
520.0000,1333.3333,16.3848
520.0000,1466.6667,16.3327
520.0000,1600.0000,16.4210
520.0000,1733.3333,16.4540
520.0000,1866.6667,16.2254
520.0000,2000.0000,16.2254
560.0000,0.0000,17.1353
560.0000,133.3333,17.2809
560.0000,266.6667,17.5017
560.0000,400.0000,17.6515
560.0000,533.3333,17.6342
560.0000,666.6667,17.6036
560.0000,800.0000,17.6138
560.0000,933.3333,17.5446
560.0000,1066.6667,17.4563
560.0000,1200.0000,17.4226
560.0000,1333.3333,17.3668
560.0000,1466.6667,17.3692
560.0000,1600.0000,17.4926
560.0000,1733.3333,17.5488
560.0000,1866.6667,17.3370
560.0000,2000.0000,17.3370
600.0000,0.0000,16.6786
600.0000,133.3333,16.8131
600.0000,266.6667,17.0211
600.0000,400.0000,17.1605
600.0000,533.3333,17.1626
600.0000,666.6667,17.2138
600.0000,800.0000,17.3816
600.0000,933.3333,17.4462
600.0000,1066.6667,17.4776
600.0000,1200.0000,17.5889
600.0000,1333.3333,17.6194
600.0000,1466.6667,17.6830
600.0000,1600.0000,17.8433
600.0000,1733.3333,17.9246
600.0000,1866.6667,17.7352
600.0000,2000.0000,17.7352
640.0000,0.0000,15.5622
640.0000,133.3333,15.6694
640.0000,266.6667,15.8557
640.0000,400.0000,15.9942
640.0000,533.3333,16.0372
640.0000,666.6667,16.1481
640.0000,800.0000,16.4228
640.0000,933.3333,16.5910
640.0000,1066.6667,16.7614
640.0000,1200.0000,17.0458
640.0000,1333.3333,17.1794
640.0000,1466.6667,17.3163
640.0000,1600.0000,17.5085
640.0000,1733.3333,17.6092
640.0000,1866.6667,17.4447
640.0000,2000.0000,17.4447
680.0000,0.0000,13.9260
680.0000,133.3333,13.9887
680.0000,266.6667,14.1374
680.0000,400.0000,14.2703
680.0000,533.3333,14.3623
680.0000,666.6667,14.5384
680.0000,800.0000,14.9059
680.0000,933.3333,15.1902
680.0000,1066.6667,15.5163
680.0000,1200.0000,15.9277
680.0000,1333.3333,16.1441
680.0000,1466.6667,16.3520
680.0000,1600.0000,16.5515
680.0000,1733.3333,16.6502
680.0000,1866.6667,16.5039
680.0000,2000.0000,16.5039
720.0000,0.0000,11.9281
720.0000,133.3333,11.9425
720.0000,266.6667,12.0548
720.0000,400.0000,12.1785
720.0000,533.3333,12.2988
720.0000,666.6667,12.5233
720.0000,800.0000,12.9592
720.0000,933.3333,13.3323
720.0000,1066.6667,13.7635
720.0000,1200.0000,14.2585
