y,x,val
0.0000,0.0000,44.1508
0.0000,133.3333,44.8838
0.0000,266.6667,45.1061
0.0000,400.0000,44.9997
0.0000,533.3333,44.6816
0.0000,666.6667,44.1493
0.0000,800.0000,43.5020
0.0000,933.3333,42.8232
0.0000,1066.6667,42.1811
0.0000,1200.0000,41.6453
0.0000,1333.3333,41.2660
0.0000,1466.6667,41.0616
0.0000,1600.0000,40.9558
0.0000,1733.3333,40.9738
0.0000,1866.6667,41.2403
0.0000,2000.0000,41.2403
40.0000,0.0000,39.1543
40.0000,133.3333,39.7944
40.0000,266.6667,39.9378
40.0000,400.0000,39.8206
40.0000,533.3333,39.5367
40.0000,666.6667,39.0347
40.0000,800.0000,38.4509
40.0000,933.3333,37.8163
40.0000,1066.6667,37.2087
40.0000,1200.0000,36.7169
40.0000,1333.3333,36.3486
40.0000,1466.6667,36.1569
40.0000,1600.0000,36.0346
40.0000,1733.3333,35.9874
40.0000,1866.6667,36.1795
40.0000,2000.0000,36.1795
80.0000,0.0000,33.3844
80.0000,133.3333,33.8892
80.0000,266.6667,33.9832
80.0000,400.0000,33.9040
80.0000,533.3333,33.7183
80.0000,666.6667,33.3466
80.0000,800.0000,32.9226
80.0000,933.3333,32.4404
80.0000,1066.6667,31.9708
80.0000,1200.0000,31.6004
80.0000,1333.3333,31.3128
80.0000,1466.6667,31.1721
80.0000,1600.0000,31.0671
80.0000,1733.3333,30.9970
80.0000,1866.6667,31.1453
80.0000,2000.0000,31.1453
120.0000,0.0000,27.1961
120.0000,133.3333,27.5839
120.0000,266.6667,27.6525
120.0000,400.0000,27.6315
120.0000,533.3333,27.5648
120.0000,666.6667,27.3554
120.0000,800.0000,27.1217
120.0000,933.3333,26.8326
120.0000,1066.6667,26.5427
120.0000,1200.0000,26.3252
120.0000,1333.3333,26.1494
120.0000,1466.6667,26.0827
120.0000,1600.0000,26.0200
120.0000,1733.3333,25.9590
120.0000,1866.6667,26.0919
120.0000,2000.0000,26.0919
160.0000,0.0000,20.8881
160.0000,133.3333,21.1846
160.0000,266.6667,21.2451
160.0000,400.0000,21.2878
160.0000,533.3333,21.3321
160.0000,666.6667,21.2790
160.0000,800.0000,21.2281
160.0000,933.3333,21.1320
160.0000,1066.6667,21.0261
160.0000,1200.0000,20.9640
160.0000,1333.3333,20.9036
160.0000,1466.6667,20.9142
160.0000,1600.0000,20.9084
160.0000,1733.3333,20.8782
160.0000,1866.6667,21.0179
160.0000,2000.0000,21.0179
200.0000,0.0000,14.6941
200.0000,133.3333,14.9205
200.0000,266.6667,14.9822
200.0000,400.0000,15.0837
200.0000,533.3333,15.2112
200.0000,666.6667,15.2913
200.0000,800.0000,15.3945
200.0000,933.3333,15.4708
200.0000,1066.6667,15.5341
200.0000,1200.0000,15.6126
200.0000,1333.3333,15.6565
200.0000,1466.6667,15.7309
200.0000,1600.0000,15.7871
200.0000,1733.3333,15.7992
200.0000,1866.6667,15.9612
200.0000,2000.0000,15.9612
240.0000,0.0000,8.7920
240.0000,133.3333,8.9614
240.0000,266.6667,9.0210
240.0000,400.0000,9.1530
240.0000,533.3333,9.3390
240.0000,666.6667,9.5298
240.0000,800.0000,9.7481
240.0000,933.3333,9.9711
240.0000,1066.6667,10.1798
240.0000,1200.0000,10.3707
240.0000,1333.3333,10.5157
240.0000,1466.6667,10.6442
240.0000,1600.0000,10.7435
240.0000,1733.3333,10.7988
240.0000,1866.6667,10.9911
240.0000,2000.0000,10.9911
280.0000,0.0000,3.3177
280.0000,133.3333,3.4347
280.0000,266.6667,3.4815
280.0000,400.0000,3.6286
280.0000,533.3333,3.8562
280.0000,666.6667,4.1220
280.0000,800.0000,4.4288
280.0000,933.3333,4.7593
280.0000,1066.6667,5.0756
280.0000,1200.0000,5.3561
280.0000,1333.3333,5.5767
280.0000,1466.6667,5.7532
280.0000,1600.0000,5.8887
280.0000,1733.3333,5.9779
280.0000,1866.6667,6.1971
280.0000,2000.0000,6.1971
320.0000,0.0000,1.6174
320.0000,133.3333,1.5498
320.0000,266.6667,1.5242
320.0000,400.0000,1.3761
320.0000,533.3333,1.1266
320.0000,666.6667,0.8176
320.0000,800.0000,0.4541
320.0000,933.3333,0.0555
320.0000,1066.6667,0.3300
320.0000,1200.0000,0.6706
320.0000,1333.3333,0.9404
320.0000,1466.6667,1.1516
320.0000,1600.0000,1.3135
320.0000,1733.3333,1.4268
320.0000,1866.6667,1.6669
320.0000,2000.0000,1.6669
360.0000,0.0000,5.9230
360.0000,133.3333,5.9006
360.0000,266.6667,5.9029
360.0000,400.0000,5.7676
360.0000,533.3333,5.5175
360.0000,666.6667,5.1951
360.0000,800.0000,4.8087
360.0000,933.3333,4.3802
360.0000,1066.6667,3.9634
360.0000,1200.0000,3.5950
360.0000,1333.3333,3.3029
360.0000,1466.6667,3.0758
360.0000,1600.0000,2.9007
360.0000,1733.3333,2.7739
360.0000,1866.6667,2.5192
360.0000,2000.0000,2.5192
400.0000,0.0000,9.5287
400.0000,133.3333,9.5468
400.0000,266.6667,9.5818
