y,x,val
0.0000,0.0000,1504.4600
0.0000,133.3333,1504.5434
0.0000,266.6667,1505.0439
0.0000,400.0000,1505.8827
0.0000,533.3333,1507.0012
0.0000,666.6667,1508.3071
0.0000,800.0000,1509.7161
0.0000,933.3333,1511.1514
0.0000,1066.6667,1512.5503
0.0000,1200.0000,1513.8459
0.0000,1333.3333,1514.9832
0.0000,1466.6667,1515.9217
0.0000,1600.0000,1516.6186
0.0000,1733.3333,1517.0698
0.0000,1866.6667,1517.2206
0.0000,2000.0000,1517.2206
40.0000,0.0000,1504.6640
40.0000,133.3333,1504.7628
40.0000,266.6667,1505.2887
40.0000,400.0000,1506.1375
40.0000,533.3333,1507.2503
40.0000,666.6667,1508.5182
40.0000,800.0000,1509.8684
40.0000,933.3333,1511.2395
40.0000,1066.6667,1512.5784
40.0000,1200.0000,1513.8225
40.0000,1333.3333,1514.9325
40.0000,1466.6667,1515.8749
40.0000,1600.0000,1516.5847
40.0000,1733.3333,1517.0614
40.0000,1866.6667,1517.2266
40.0000,2000.0000,1517.2266
80.0000,0.0000,1505.3157
80.0000,133.3333,1505.4519
80.0000,266.6667,1505.9883
80.0000,400.0000,1506.8146
80.0000,533.3333,1507.8625
80.0000,666.6667,1509.0215
80.0000,800.0000,1510.2335
80.0000,933.3333,1511.4577
80.0000,1066.6667,1512.6548
80.0000,1200.0000,1513.7805
80.0000,1333.3333,1514.8132
80.0000,1466.6667,1515.7188
80.0000,1600.0000,1516.4288
80.0000,1733.3333,1516.9222
80.0000,1866.6667,1517.1102
80.0000,2000.0000,1517.1102
120.0000,0.0000,1506.2791
120.0000,133.3333,1506.4447
120.0000,266.6667,1506.9729
120.0000,400.0000,1507.7521
120.0000,533.3333,1508.6985
120.0000,666.6667,1509.7126
120.0000,800.0000,1510.7524
120.0000,933.3333,1511.7945
120.0000,1066.6667,1512.8138
120.0000,1200.0000,1513.7898
120.0000,1333.3333,1514.7163
120.0000,1466.6667,1515.5555
120.0000,1600.0000,1516.2440
120.0000,1733.3333,1516.7349
120.0000,1866.6667,1516.9357
120.0000,2000.0000,1516.9357
160.0000,0.0000,1507.4377
160.0000,133.3333,1507.6189
160.0000,266.6667,1508.1206
160.0000,400.0000,1508.8368
160.0000,533.3333,1509.6614
160.0000,666.6667,1510.5150
160.0000,800.0000,1511.3723
160.0000,933.3333,1512.2217
160.0000,1066.6667,1513.0525
160.0000,1200.0000,1513.8686
160.0000,1333.3333,1514.6699
160.0000,1466.6667,1515.4232
160.0000,1600.0000,1516.0784
160.0000,1733.3333,1516.5495
160.0000,1866.6667,1516.7516
160.0000,2000.0000,1516.7516
200.0000,0.0000,1508.7016
200.0000,133.3333,1508.8891
200.0000,266.6667,1509.3557
200.0000,400.0000,1509.9977
200.0000,533.3333,1510.6863
200.0000,666.6667,1511.3730
200.0000,800.0000,1512.0475
200.0000,933.3333,1512.7076
200.0000,1066.6667,1513.3532
200.0000,1200.0000,1514.0074
200.0000,1333.3333,1514.6756
200.0000,1466.6667,1515.3281
200.0000,1600.0000,1515.9405
200.0000,1733.3333,1516.3888
200.0000,1866.6667,1516.5884
200.0000,2000.0000,1516.5884
240.0000,0.0000,1510.0010
240.0000,133.3333,1510.1869
240.0000,266.6667,1510.6100
240.0000,400.0000,1511.1668
240.0000,533.3333,1511.7216
240.0000,666.6667,1512.2516
240.0000,800.0000,1512.7548
240.0000,933.3333,1513.2367
240.0000,1066.6667,1513.7099
240.0000,1200.0000,1514.2104
240.0000,1333.3333,1514.7489
240.0000,1466.6667,1515.3018
240.0000,1600.0000,1515.8582
240.0000,1733.3333,1516.2770
240.0000,1866.6667,1516.4701
240.0000,2000.0000,1516.4701
280.0000,0.0000,1511.2843
280.0000,133.3333,1511.4632
280.0000,266.6667,1511.8398
280.0000,400.0000,1512.3124
280.0000,533.3333,1512.7453
280.0000,666.6667,1513.1308
280.0000,800.0000,1513.4772
280.0000,933.3333,1513.7970
280.0000,1066.6667,1514.1147
280.0000,1200.0000,1514.4730
280.0000,1333.3333,1514.8875
280.0000,1466.6667,1515.3478
280.0000,1600.0000,1515.8449
280.0000,1733.3333,1516.2293
280.0000,1866.6667,1516.4118
280.0000,2000.0000,1516.4118
320.0000,0.0000,1512.5139
320.0000,133.3333,1512.6845
320.0000,266.6667,1513.0171
320.0000,400.0000,1513.4115
320.0000,533.3333,1513.7349
320.0000,666.6667,1513.9920
320.0000,800.0000,1514.2004
320.0000,933.3333,1514.3786
320.0000,1066.6667,1514.5615
320.0000,1200.0000,1514.7931
320.0000,1333.3333,1515.0933
320.0000,1466.6667,1515.4660
320.0000,1600.0000,1515.9025
320.0000,1733.3333,1516.2505
320.0000,1866.6667,1516.4195
320.0000,2000.0000,1516.4195
360.0000,0.0000,1513.6588
360.0000,133.3333,1513.8211
360.0000,266.6667,1514.1141
360.0000,400.0000,1514.4380
360.0000,533.3333,1514.6668
360.0000,666.6667,1514.8136
360.0000,800.0000,1514.9037
360.0000,933.3333,1514.9613
360.0000,1066.6667,1515.0284
360.0000,1200.0000,1515.1504
360.0000,1333.3333,1515.3511
360.0000,1466.6667,1515.6454
360.0000,1600.0000,1516.0244
360.0000,1733.3333,1516.3373
360.0000,1866.6667,1516.4919
360.0000,2000.0000,1516.4919
400.0000,0.0000,1514.6947
400.0000,133.3333,1514.8496
400.0000,266.6667,1515.1087
400.0000,400.0000,1515.3707
400.0000,533.3333,1515.5206
400.0000,666.6667,1515.5760
400.0000,800.0000,1515.5690
400.0000,933.3333,1515.5274
400.0000,1066.6667,1515.4997
400.0000,1200.0000,1515.5307
400.0000,1333.3333,1515.6467
400.0000,1466.6667,1515.8744
400.0000,1600.0000,1516.2010
400.0000,1733.3333,1516.4820
400.0000,1866.6667,1516.6220
400.0000,2000.0000,1516.6220
440.0000,0.0000,1515.6026
440.0000,133.3333,1515.7505
440.0000,266.6667,1515.9807
440.0000,400.0000,1516.1912
440.0000,533.3333,1516.2785
440.0000,666.6667,1516.2629
440.0000,800.0000,1516.1811
440.0000,933.3333,1516.0633
440.0000,1066.6667,1515.9633
440.0000,1200.0000,1515.9231
440.0000,1333.3333,1515.9703
440.0000,1466.6667,1516.1429
440.0000,1600.0000,1516.4226
440.0000,1733.3333,1516.6736
440.0000,1866.6667,1516.7981
440.0000,2000.0000,1516.7981
480.0000,0.0000,1516.3675
480.0000,133.3333,1516.5096
480.0000,266.6667,1516.7177
480.0000,400.0000,1516.8882
480.0000,533.3333,1516.9266
480.0000,666.6667,1516.8576
480.0000,800.0000,1516.7209
480.0000,933.3333,1516.5477
480.0000,1066.6667,1516.3942
480.0000,1200.0000,1516.3005
480.0000,1333.3333,1516.2957
