y,x,val
0.0000,0.0000,42.9003
0.0000,133.3333,43.6690
0.0000,266.6667,44.0883
0.0000,400.0000,44.2047
0.0000,533.3333,44.0030
0.0000,666.6667,43.5485
0.0000,800.0000,42.8519
0.0000,933.3333,42.0355
0.0000,1066.6667,41.2955
0.0000,1200.0000,40.7184
0.0000,1333.3333,40.3985
0.0000,1466.6667,40.3977
0.0000,1600.0000,40.5720
0.0000,1733.3333,40.7801
0.0000,1866.6667,41.0352
0.0000,2000.0000,41.0352
40.0000,0.0000,37.9789
40.0000,133.3333,38.6624
40.0000,266.6667,38.9482
40.0000,400.0000,38.9376
40.0000,533.3333,38.6606
40.0000,666.6667,38.2437
40.0000,800.0000,37.6396
40.0000,933.3333,36.9353
40.0000,1066.6667,36.3229
40.0000,1200.0000,35.8309
40.0000,1333.3333,35.5057
40.0000,1466.6667,35.4326
40.0000,1600.0000,35.4898
40.0000,1733.3333,35.5857
40.0000,1866.6667,35.7839
40.0000,2000.0000,35.7839
80.0000,0.0000,32.3255
80.0000,133.3333,32.8536
80.0000,266.6667,32.9791
80.0000,400.0000,32.8449
80.0000,533.3333,32.5483
80.0000,666.6667,32.2372
80.0000,800.0000,31.8415
80.0000,933.3333,31.4028
80.0000,1066.6667,31.0392
80.0000,1200.0000,30.7233
80.0000,1333.3333,30.4553
80.0000,1466.6667,30.3108
80.0000,1600.0000,30.2304
80.0000,1733.3333,30.2070
80.0000,1866.6667,30.3609
80.0000,2000.0000,30.3609
120.0000,0.0000,26.2107
120.0000,133.3333,26.5863
120.0000,266.6667,26.5787
120.0000,400.0000,26.3653
120.0000,533.3333,26.1113
120.0000,666.6667,25.9421
120.0000,800.0000,25.7772
120.0000,933.3333,25.6281
120.0000,1066.6667,25.5227
120.0000,1200.0000,25.3966
120.0000,1333.3333,25.2226
120.0000,1466.6667,25.0393
120.0000,1600.0000,24.8565
120.0000,1733.3333,24.7434
120.0000,1866.6667,24.8626
120.0000,2000.0000,24.8626
160.0000,0.0000,19.9091
160.0000,133.3333,20.1566
160.0000,266.6667,20.0557
160.0000,400.0000,19.8097
160.0000,533.3333,19.6298
160.0000,666.6667,19.5982
160.0000,800.0000,19.6404
160.0000,933.3333,19.7466
160.0000,1066.6667,19.8567
160.0000,1200.0000,19.9100
160.0000,1333.3333,19.8584
160.0000,1466.6667,19.6647
160.0000,1600.0000,19.4251
160.0000,1733.3333,19.2605
160.0000,1866.6667,19.3617
160.0000,2000.0000,19.3617
200.0000,0.0000,13.6654
200.0000,133.3333,13.8085
200.0000,266.6667,13.6437
200.0000,400.0000,13.3911
200.0000,533.3333,13.2993
200.0000,666.6667,13.3803
200.0000,800.0000,13.5789
200.0000,933.3333,13.8765
200.0000,1066.6667,14.1278
200.0000,1200.0000,14.3174
200.0000,1333.3333,14.4003
200.0000,1466.6667,14.2369
200.0000,1600.0000,13.9959
200.0000,1733.3333,13.8261
200.0000,1866.6667,13.9312
200.0000,2000.0000,13.9312
240.0000,0.0000,7.6931
240.0000,133.3333,7.7557
240.0000,266.6667,7.5582
240.0000,400.0000,7.3297
240.0000,533.3333,7.3260
240.0000,666.6667,7.4924
240.0000,800.0000,7.7981
240.0000,933.3333,8.2283
240.0000,1066.6667,8.5801
240.0000,1200.0000,8.8616
240.0000,1333.3333,9.0418
240.0000,1466.6667,8.9191
240.0000,1600.0000,8.6983
240.0000,1733.3333,8.5427
240.0000,1866.6667,8.6627
240.0000,2000.0000,8.6627
280.0000,0.0000,2.1617
280.0000,133.3333,2.1621
280.0000,266.6667,1.9470
280.0000,400.0000,1.7511
280.0000,533.3333,1.8123
280.0000,666.6667,2.0376
280.0000,800.0000,2.4079
280.0000,933.3333,2.9202
280.0000,1066.6667,3.3303
280.0000,1200.0000,3.6722
280.0000,1333.3333,3.9241
280.0000,1466.6667,3.8344
280.0000,1600.0000,3.6421
280.0000,1733.3333,3.5093
280.0000,1866.6667,3.6506
280.0000,2000.0000,3.6506
320.0000,0.0000,2.7949
320.0000,133.3333,2.8447
320.0000,266.6667,3.0710
320.0000,400.0000,3.2405
320.0000,533.3333,3.1431
320.0000,666.6667,2.8917
320.0000,800.0000,2.4981
320.0000,933.3333,1.9554
320.0000,1066.6667,1.5332
320.0000,1200.0000,1.1637
320.0000,1333.3333,0.8621
320.0000,1466.6667,0.9222
320.0000,1600.0000,1.0770
320.0000,1733.3333,1.1768
320.0000,1866.6667,1.0089
320.0000,2000.0000,1.0089
360.0000,0.0000,7.0697
360.0000,133.3333,7.1612
360.0000,266.6667,7.3973
360.0000,400.0000,7.5476
360.0000,533.3333,7.4323
360.0000,666.6667,7.1786
360.0000,800.0000,6.7977
360.0000,933.3333,6.2640
360.0000,1066.6667,5.8595
360.0000,1200.0000,5.4960
360.0000,1333.3333,5.1771
360.0000,1466.6667,5.2168
360.0000,1600.0000,5.3403
360.0000,1733.3333,5.4090
360.0000,1866.6667,5.2156
360.0000,2000.0000,5.2156
400.0000,0.0000,10.5826
400.0000,133.3333,10.7075
400.0000,266.6667,10.9528
400.0000,400.0000,11.0833
400.0000,533.3333,10.9636
400.0000,666.6667,10.7266
400.0000,800.0000,10.3862
400.0000,933.3333,9.8961
400.0000,1066.6667,9.5408
400.0000,1200.0000,9.2184
400.0000,1333.3333,8.9096
400.0000,1466.6667,8.9463
400.0000,1600.0000,9.0472
400.0000,1733.3333,9.0916
400.0000,1866.6667,8.8775
400.0000,2000.0000,8.8775
440.0000,0.0000,13.2813
440.0000,133.3333,13.4257
440.0000,266.6667,13.6692
440.0000,400.0000,13.7806
440.0000,533.3333,13.6787
440.0000,666.6667,13.4846
440.0000,800.0000,13.2056
440.0000,933.3333,12.7862
440.0000,1066.6667,12.5060
440.0000,1200.0000,12.2501
440.0000,1333.3333,11.9800
440.0000,1466.6667,12.0318
440.0000,1600.0000,12.1182
440.0000,1733.3333,12.1443
440.0000,1866.6667,11.9161
440.0000,2000.0000,11.9161
480.0000,0.0000,15.1487
480.0000,133.3333,15.3019
480.0000,266.6667,15.5408
480.0000,400.0000,15.6363
480.0000,533.3333,15.5564
480.0000,666.6667,15.4178
480.0000,800.0000,15.2225
480.0000,933.3333,14.8910
480.0000,1066.6667,14.7005
480.0000,1200.0000,14.5334
480.0000,1333.3333,14.3210
480.0000,1466.6667,14.3973
480.0000,1600.0000,14.4852
480.0000,1733.3333,14.5040
480.0000,1866.6667,14.2724
480.0000,2000.0000,14.2724
520.0000,0.0000,16.1982
520.0000,133.3333,16.3481
520.0000,266.6667,16.5725
520.0000,400.0000,16.6535
520.0000,533.3333,16.5995
520.0000,666.6667,16.5210
520.0000,800.0000,16.4192
520.0000,933.3333,16.1985
520.0000,1066.6667,16.1056
520.0000,1200.0000,16.0312
520.0000,1333.3333,15.8892
520.0000,1466.6667,16.0028
520.0000,1600.0000,16.1126
520.0000,1733.3333,16.1355
520.0000,1866.6667,15.9137
520.0000,2000.0000,15.9137
560.0000,0.0000,16.4759
560.0000,133.3333,16.6129
560.0000,266.6667,16.8199
560.0000,400.0000,16.8921
560.0000,533.3333,16.8619
560.0000,666.6667,16.8497
560.0000,800.0000,16.8421
560.0000,933.3333,16.7561
560.0000,1066.6667,16.7885
560.0000,1200.0000,16.8111
560.0000,1333.3333,16.7291
560.0000,1466.6667,16.8679
560.0000,1600.0000,17.0093
560.0000,1733.3333,17.0396
560.0000,1866.6667,16.8385
560.0000,2000.0000,16.8385
600.0000,0.0000,16.0579
600.0000,133.3333,16.1782
600.0000,266.6667,16.3684
600.0000,400.0000,16.4272
600.0000,533.3333,16.4269
600.0000,666.6667,16.4897
600.0000,800.0000,16.5941
600.0000,933.3333,16.6617
600.0000,1066.6667,16.8243
600.0000,1200.0000,16.9604
600.0000,1333.3333,16.9531
600.0000,1466.6667,17.0954
600.0000,1600.0000,17.2389
600.0000,1733.3333,17.2610
