y,x,val
0.0000,0.0000,1506.7746
0.0000,133.3333,1506.5588
0.0000,266.6667,1506.7492
0.0000,400.0000,1507.2007
0.0000,533.3333,1507.8780
0.0000,666.6667,1508.7493
0.0000,800.0000,1509.7483
0.0000,933.3333,1510.7715
0.0000,1066.6667,1511.7002
0.0000,1200.0000,1512.5329
0.0000,1333.3333,1513.2257
0.0000,1466.6667,1513.6912
0.0000,1600.0000,1514.1082
0.0000,1733.3333,1514.5274
0.0000,1866.6667,1514.8547
0.0000,2000.0000,1514.8547
40.0000,0.0000,1507.5117
40.0000,133.3333,1507.3496
40.0000,266.6667,1507.5793
40.0000,400.0000,1508.0081
40.0000,533.3333,1508.6512
40.0000,666.6667,1509.4678
40.0000,800.0000,1510.3822
40.0000,933.3333,1511.3356
40.0000,1066.6667,1512.1815
40.0000,1200.0000,1512.9449
40.0000,1333.3333,1513.6315
40.0000,1466.6667,1514.0684
40.0000,1600.0000,1514.4816
40.0000,1733.3333,1514.9330
40.0000,1866.6667,1515.2860
40.0000,2000.0000,1515.2860
80.0000,0.0000,1509.2969
80.0000,133.3333,1509.2377
80.0000,266.6667,1509.4961
80.0000,400.0000,1509.8825
80.0000,533.3333,1510.4394
80.0000,666.6667,1511.1269
80.0000,800.0000,1511.8732
80.0000,933.3333,1512.6516
80.0000,1066.6667,1513.3435
80.0000,1200.0000,1513.9844
80.0000,1333.3333,1514.6045
80.0000,1466.6667,1515.0260
80.0000,1600.0000,1515.4282
80.0000,1733.3333,1515.8849
80.0000,1866.6667,1516.2309
80.0000,2000.0000,1516.2309
120.0000,0.0000,1511.7664
120.0000,133.3333,1511.7993
120.0000,266.6667,1512.0750
120.0000,400.0000,1512.4162
120.0000,533.3333,1512.8669
120.0000,666.6667,1513.3976
120.0000,800.0000,1513.9534
120.0000,933.3333,1514.5235
120.0000,1066.6667,1515.0375
120.0000,1200.0000,1515.5371
120.0000,1333.3333,1516.0571
120.0000,1466.6667,1516.4583
120.0000,1600.0000,1516.8469
120.0000,1733.3333,1517.2940
120.0000,1866.6667,1517.6190
120.0000,2000.0000,1517.6190
160.0000,0.0000,1514.6071
