y,x,val
0.0000,0.0000,1505.6741
0.0000,133.3333,1505.4898
0.0000,266.6667,1505.7289
0.0000,400.0000,1506.2776
0.0000,533.3333,1507.1233
0.0000,666.6667,1508.2310
0.0000,800.0000,1509.5275
0.0000,933.3333,1510.8860
0.0000,1066.6667,1512.1596
0.0000,1200.0000,1513.2972
0.0000,1333.3333,1514.2241
0.0000,1466.6667,1514.8548
0.0000,1600.0000,1515.3329
0.0000,1733.3333,1515.7367
0.0000,1866.6667,1516.0070
0.0000,2000.0000,1516.0070
40.0000,0.0000,1506.3661
40.0000,133.3333,1506.2330
40.0000,266.6667,1506.5205
40.0000,400.0000,1507.0615
40.0000,533.3333,1507.8739
40.0000,666.6667,1508.9088
40.0000,800.0000,1510.0964
40.0000,933.3333,1511.3553
40.0000,1066.6667,1512.5186
40.0000,1200.0000,1513.5622
40.0000,1333.3333,1514.4622
40.0000,1466.6667,1515.0728
40.0000,1600.0000,1515.5645
40.0000,1733.3333,1516.0151
40.0000,1866.6667,1516.3158
40.0000,2000.0000,1516.3158
80.0000,0.0000,1508.0783
80.0000,133.3333,1508.0480
80.0000,266.6667,1508.3762
80.0000,400.0000,1508.8865
80.0000,533.3333,1509.5994
80.0000,666.6667,1510.4705
80.0000,800.0000,1511.4389
80.0000,933.3333,1512.4626
80.0000,1066.6667,1513.4090
80.0000,1200.0000,1514.2761
80.0000,1333.3333,1515.0753
80.0000,1466.6667,1515.6604
80.0000,1600.0000,1516.1607
80.0000,1733.3333,1516.6421
80.0000,1866.6667,1516.9575
80.0000,2000.0000,1516.9575
120.0000,0.0000,1510.4673
120.0000,133.3333,1510.5273
120.0000,266.6667,1510.8756
120.0000,400.0000,1511.3363
120.0000,533.3333,1511.9185
120.0000,666.6667,1512.5918
120.0000,800.0000,1513.3109
120.0000,933.3333,1514.0573
120.0000,1066.6667,1514.7535
120.0000,1200.0000,1515.4171
120.0000,1333.3333,1516.0757
120.0000,1466.6667,1516.6151
120.0000,1600.0000,1517.1071
120.0000,1733.3333,1517.5964
120.0000,1866.6667,1517.9119
120.0000,2000.0000,1517.9119
160.0000,0.0000,1513.2343
160.0000,133.3333,1513.3645
160.0000,266.6667,1513.7171
160.0000,400.0000,1514.1266
160.0000,533.3333,1514.5764
160.0000,666.6667,1515.0585
160.0000,800.0000,1515.5393
160.0000,933.3333,1516.0187
160.0000,1066.6667,1516.4823
160.0000,1200.0000,1516.9421
160.0000,1333.3333,1517.4430
160.0000,1466.6667,1517.9211
160.0000,1600.0000,1518.3772
160.0000,1733.3333,1518.8497
160.0000,1866.6667,1519.1498
160.0000,2000.0000,1519.1498
200.0000,0.0000,1516.1337
200.0000,133.3333,1516.3207
200.0000,266.6667,1516.6776
200.0000,400.0000,1517.0422
200.0000,533.3333,1517.3713
200.0000,666.6667,1517.6948
200.0000,800.0000,1517.9770
200.0000,933.3333,1518.2287
200.0000,1066.6667,1518.5074
200.0000,1200.0000,1518.7925
200.0000,1333.3333,1519.1331
200.0000,1466.6667,1519.5406
200.0000,1600.0000,1519.9313
200.0000,1733.3333,1520.3564
200.0000,1866.6667,1520.6222
200.0000,2000.0000,1520.6222
240.0000,0.0000,1518.9616
240.0000,133.3333,1519.1917
240.0000,266.6667,1519.5474
240.0000,400.0000,1519.8710
240.0000,533.3333,1520.1007
240.0000,666.6667,1520.2935
240.0000,800.0000,1520.4209
240.0000,933.3333,1520.4910
240.0000,1066.6667,1520.6142
240.0000,1200.0000,1520.7615
240.0000,1333.3333,1520.9712
240.0000,1466.6667,1521.3131
240.0000,1600.0000,1521.6478
240.0000,1733.3333,1522.0236
240.0000,1866.6667,1522.2480
240.0000,2000.0000,1522.2480
280.0000,0.0000,1521.5568
280.0000,133.3333,1521.8204
280.0000,266.6667,1522.1745
280.0000,400.0000,1522.4706
280.0000,533.3333,1522.6305
280.0000,666.6667,1522.7283
280.0000,800.0000,1522.7451
280.0000,933.3333,1522.6853
280.0000,1066.6667,1522.6933
280.0000,1200.0000,1522.7370
280.0000,1333.3333,1522.8484
280.0000,1466.6667,1523.1339
280.0000,1600.0000,1523.4242
280.0000,1733.3333,1523.7542
280.0000,1866.6667,1523.9358
280.0000,2000.0000,1523.9358
320.0000,0.0000,1523.7930
320.0000,133.3333,1524.0848
320.0000,266.6667,1524.4446
320.0000,400.0000,1524.7292
320.0000,533.3333,1524.8492
320.0000,666.6667,1524.8916
320.0000,800.0000,1524.8435
320.0000,933.3333,1524.7066
320.0000,1066.6667,1524.6474
320.0000,1200.0000,1524.6254
320.0000,1333.3333,1524.6684
320.0000,1466.6667,1524.9092
320.0000,1600.0000,1525.1620
320.0000,1733.3333,1525.4495
320.0000,1866.6667,1525.5882
320.0000,2000.0000,1525.5882
360.0000,0.0000,1525.5708
360.0000,133.3333,1525.8853
360.0000,266.6667,1526.2554
360.0000,400.0000,1526.5414
360.0000,533.3333,1526.6500
360.0000,666.6667,1526.6708
360.0000,800.0000,1526.6010
360.0000,933.3333,1526.4333
360.0000,1066.6667,1526.3457
360.0000,1200.0000,1526.2965
360.0000,1333.3333,1526.3073
360.0000,1466.6667,1526.5224
360.0000,1600.0000,1526.7518
360.0000,1733.3333,1527.0050
360.0000,1866.6667,1527.1035
360.0000,2000.0000,1527.1035
400.0000,0.0000,1526.8178
400.0000,133.3333,1527.1486
400.0000,266.6667,1527.5306
400.0000,400.0000,1527.8293
400.0000,533.3333,1527.9465
400.0000,666.6667,1527.9742
400.0000,800.0000,1527.9195
400.0000,933.3333,1527.7624
400.0000,1066.6667,1527.6822
400.0000,1200.0000,1527.6443
400.0000,1333.3333,1527.6548
400.0000,1466.6667,1527.8657
400.0000,1600.0000,1528.0927
400.0000,1733.3333,1528.3206
400.0000,1866.6667,1528.3838
400.0000,2000.0000,1528.3838
440.0000,0.0000,1527.4891
440.0000,133.3333,1527.8301
440.0000,266.6667,1528.2274
440.0000,400.0000,1528.5506
440.0000,533.3333,1528.6939
440.0000,666.6667,1528.7528
440.0000,800.0000,1528.7367
440.0000,933.3333,1528.6200
440.0000,1066.6667,1528.5762
440.0000,1200.0000,1528.5776
440.0000,1333.3333,1528.6154
440.0000,1466.6667,1528.8416
440.0000,1600.0000,1529.0851
440.0000,1733.3333,1529.3018
440.0000,1866.6667,1529.3389
440.0000,2000.0000,1529.3389
480.0000,0.0000,1527.5673
480.0000,133.3333,1527.9114
480.0000,266.6667,1528.3246
480.0000,400.0000,1528.6776
480.0000,533.3333,1528.8605
480.0000,666.6667,1528.9655
480.0000,800.0000,1529.0107
480.0000,933.3333,1528.9576
480.0000,1066.6667,1528.9704
480.0000,1200.0000,1529.0357
480.0000,1333.3333,1529.1228
480.0000,1466.6667,1529.3801
480.0000,1600.0000,1529.6587
480.0000,1733.3333,1529.8747
480.0000,1866.6667,1529.8956
480.0000,2000.0000,1529.8956
520.0000,0.0000,1527.0616
520.0000,133.3333,1527.3998
520.0000,266.6667,1527.8271
520.0000,400.0000,1528.2087
520.0000,533.3333,1528.4371
520.0000,666.6667,1528.5986
520.0000,800.0000,1528.7161
520.0000,933.3333,1528.7434
520.0000,1066.6667,1528.8299
520.0000,1200.0000,1528.9715
520.0000,1333.3333,1529.1220
520.0000,1466.6667,1529.4233
520.0000,1600.0000,1529.7518
520.0000,1733.3333,1529.9830
520.0000,1866.6667,1530.0017
520.0000,2000.0000,1530.0017
560.0000,0.0000,1526.0109
560.0000,133.3333,1526.3351
560.0000,266.6667,1526.7804
560.0000,400.0000,1527.1914
560.0000,533.3333,1527.4691
560.0000,666.6667,1527.7012
560.0000,800.0000,1527.8998
560.0000,933.3333,1528.0180
560.0000,1066.6667,1528.1964
560.0000,1200.0000,1528.4242
560.0000,1333.3333,1528.6378
560.0000,1466.6667,1528.9873
560.0000,1600.0000,1529.3670
560.0000,1733.3333,1529.6099
560.0000,1866.6667,1529.6343
560.0000,2000.0000,1529.6343
600.0000,0.0000,1524.4769
600.0000,133.3333,1524.7884
600.0000,266.6667,1525.2504
600.0000,400.0000,1525.6897
600.0000,533.3333,1526.0186
600.0000,666.6667,1526.3227
600.0000,800.0000,1526.6140
600.0000,933.3333,1526.8377
600.0000,1066.6667,1527.1083
600.0000,1200.0000,1527.4350
600.0000,1333.3333,1527.7238
600.0000,1466.6667,1528.1063
600.0000,1600.0000,1528.5291
600.0000,1733.3333,1528.7720
600.0000,1866.6667,1528.7934
600.0000,2000.0000,1528.7934
640.0000,0.0000,1522.5236
640.0000,133.3333,1522.8156
640.0000,266.6667,1523.2819
640.0000,400.0000,1523.7435
640.0000,533.3333,1524.1186
640.0000,666.6667,1524.4804
640.0000,800.0000,1524.8506
640.0000,933.3333,1525.1707
640.0000,1066.6667,1525.5229
640.0000,1200.0000,1525.9332
640.0000,1333.3333,1526.2959
640.0000,1466.6667,1526.7146
640.0000,1600.0000,1527.1809
640.0000,1733.3333,1527.4403
640.0000,1866.6667,1527.4670
640.0000,2000.0000,1527.4670
680.0000,0.0000,1520.2291
680.0000,133.3333,1520.4927
680.0000,266.6667,1520.9534
680.0000,400.0000,1521.4232
680.0000,533.3333,1521.8373
680.0000,666.6667,1522.2536
680.0000,800.0000,1522.6845
680.0000,933.3333,1523.0817
680.0000,1066.6667,1523.5070
680.0000,1200.0000,1523.9792
680.0000,1333.3333,1524.3958
680.0000,1466.6667,1524.8480
680.0000,1600.0000,1525.3458
680.0000,1733.3333,1525.6255
680.0000,1866.6667,1525.6667
680.0000,2000.0000,1525.6667
720.0000,0.0000,1517.6891
720.0000,133.3333,1517.9203
720.0000,266.6667,1518.3671
720.0000,400.0000,1518.8349
720.0000,533.3333,1519.2736
720.0000,666.6667,1519.7293
720.0000,800.0000,1520.2032
720.0000,933.3333,1520.6589
720.0000,1066.6667,1521.1378
720.0000,1200.0000,1521.6504
720.0000,1333.3333,1522.1020
720.0000,1466.6667,1522.5703
720.0000,1600.0000,1523.0797
720.0000,1733.3333,1523.3734
720.0000,1866.6667,1523.4326
720.0000,2000.0000,1523.4326
760.0000,0.0000,1515.0029
760.0000,133.3333,1515.1963
760.0000,266.6667,1515.6177
760.0000,400.0000,1516.0715
760.0000,533.3333,1516.5155
760.0000,666.6667,1516.9886
760.0000,800.0000,1517.4837
760.0000,933.3333,1517.9712
760.0000,1066.6667,1518.4774
760.0000,1200.0000,1519.0048
760.0000,1333.3333,1519.4671
760.0000,1466.6667,1519.9337
760.0000,1600.0000,1520.4394
760.0000,1733.3333,1520.7420
760.0000,1866.6667,1520.8219
760.0000,2000.0000,1520.8219
800.0000,0.0000,1512.2760
800.0000,133.3333,1512.4262
800.0000,266.6667,1512.8106
800.0000,400.0000,1513.2337
800.0000,533.3333,1513.6630
800.0000,666.6667,1514.1294
800.0000,800.0000,1514.6167
800.0000,933.3333,1515.1094
800.0000,1066.6667,1515.6139
800.0000,1200.0000,1516.1249
800.0000,1333.3333,1516.5745
800.0000,1466.6667,1517.0168
800.0000,1600.0000,1517.5004
800.0000,1733.3333,1517.8086
800.0000,1866.6667,1517.9106
800.0000,2000.0000,1517.9106
840.0000,0.0000,1509.6195
840.0000,133.3333,1509.7245
840.0000,266.6667,1510.0612
840.0000,400.0000,1510.4371
840.0000,533.3333,1510.8307
840.0000,666.6667,1511.2624
840.0000,800.0000,1511.7134
840.0000,933.3333,1512.1831
840.0000,1066.6667,1512.6535
840.0000,1200.0000,1513.1179
840.0000,1333.3333,1513.5294
840.0000,1466.6667,1513.9199
840.0000,1600.0000,1514.3582
840.0000,1733.3333,1514.6660
840.0000,1866.6667,1514.7961
840.0000,2000.0000,1514.7961
880.0000,0.0000,1507.1485
880.0000,133.3333,1507.2114
880.0000,266.6667,1507.4897
880.0000,400.0000,1507.8043
880.0000,533.3333,1508.1436
880.0000,666.6667,1508.5116
880.0000,800.0000,1508.9056
880.0000,933.3333,1509.3299
880.0000,1066.6667,1509.7327
880.0000,1200.0000,1510.1288
880.0000,1333.3333,1510.4849
880.0000,1466.6667,1510.7919
880.0000,1600.0000,1511.1612
880.0000,1733.3333,1511.4604
880.0000,1866.6667,1511.6133
880.0000,2000.0000,1511.6133
920.0000,0.0000,1504.9787
920.0000,133.3333,1505.0050
920.0000,266.6667,1505.2165
920.0000,400.0000,1505.4591
920.0000,533.3333,1505.7296
920.0000,666.6667,1506.0185
920.0000,800.0000,1506.3369
920.0000,933.3333,1506.6951
920.0000,1066.6667,1507.0117
920.0000,1200.0000,1507.3203
920.0000,1333.3333,1507.6095
920.0000,1466.6667,1507.8213
920.0000,1600.0000,1508.0946
920.0000,1733.3333,1508.3651
920.0000,1866.6667,1508.5251
920.0000,2000.0000,1508.5251
960.0000,0.0000,1503.1862
960.0000,133.3333,1503.1766
960.0000,266.6667,1503.3207
960.0000,400.0000,1503.4826
960.0000,533.3333,1503.6701
960.0000,666.6667,1503.8663
960.0000,800.0000,1504.0848
960.0000,933.3333,1504.3510
960.0000,1066.6667,1504.5682
960.0000,1200.0000,1504.7713
960.0000,1333.3333,1504.9740
960.0000,1466.6667,1505.0901
960.0000,1600.0000,1505.2631
960.0000,1733.3333,1505.4919
960.0000,1866.6667,1505.6702
960.0000,2000.0000,1505.6702
1000.0000,0.0000,1501.8297
1000.0000,133.3333,1501.7962
1000.0000,266.6667,1501.8782
1000.0000,400.0000,1501.9609
1000.0000,533.3333,1502.0637
1000.0000,666.6667,1502.1613
1000.0000,800.0000,1502.2763
1000.0000,933.3333,1502.4415
1000.0000,1066.6667,1502.5523
1000.0000,1200.0000,1502.6535
1000.0000,1333.3333,1502.7712
1000.0000,1466.6667,1502.7968
1000.0000,1600.0000,1502.8739
1000.0000,1733.3333,1503.0462
1000.0000,1866.6667,1503.2375
1000.0000,2000.0000,1503.2375
1040.0000,0.0000,1500.9392
1040.0000,133.3333,1500.9060
1040.0000,266.6667,1500.9401
1040.0000,400.0000,1500.9604
1040.0000,533.3333,1500.9959
1040.0000,666.6667,1501.0148
1040.0000,800.0000,1501.0442
1040.0000,933.3333,1501.1224
1040.0000,1066.6667,1501.1458
1040.0000,1200.0000,1501.1657
1040.0000,1333.3333,1501.2240
1040.0000,1466.6667,1501.1901
1040.0000,1600.0000,1501.1855
1040.0000,1733.3333,1501.2912
1040.0000,1866.6667,1501.4628
1040.0000,2000.0000,1501.4628
1080.0000,0.0000,1500.4849
1080.0000,133.3333,1500.4826
1080.0000,266.6667,1500.5018
1080.0000,400.0000,1500.4968
1080.0000,533.3333,1500.5083
1080.0000,666.6667,1500.4998
1080.0000,800.0000,1500.4929
1080.0000,933.3333,1500.5383
1080.0000,1066.6667,1500.5333
1080.0000,1200.0000,1500.5187
1080.0000,1333.3333,1500.5581
1080.0000,1466.6667,1500.5128
1080.0000,1600.0000,1500.4753
1080.0000,1733.3333,1500.5478
1080.0000,1866.6667,1500.6355
1080.0000,2000.0000,1500.6355
1120.0000,0.0000,1500.2539
1120.0000,133.3333,1500.2753
1120.0000,266.6667,1500.2916
1120.0000,400.0000,1500.2814
1120.0000,533.3333,1500.2902
1120.0000,666.6667,1500.2777
1120.0000,800.0000,1500.2667
1120.0000,933.3333,1500.3072
1120.0000,1066.6667,1500.3004
1120.0000,1200.0000,1500.2825
1120.0000,1333.3333,1500.3204
1120.0000,1466.6667,1500.2821
1120.0000,1600.0000,1500.2423
1120.0000,1733.3333,1500.3013
1120.0000,1866.6667,1500.3290
1120.0000,2000.0000,1500.3290
1160.0000,0.0000,1500.1144
1160.0000,133.3333,1500.1448
1160.0000,266.6667,1500.1599
1160.0000,400.0000,1500.1513
1160.0000,533.3333,1500.1612
1160.0000,666.6667,1500.1494
1160.0000,800.0000,1500.1438
1160.0000,933.3333,1500.1839
1160.0000,1066.6667,1500.1792
1160.0000,1200.0000,1500.1669
1160.0000,1333.3333,1500.2049
1160.0000,1466.6667,1500.1742
1160.0000,1600.0000,1500.1413
1160.0000,1733.3333,1500.1973
1160.0000,1866.6667,1500.2052
1160.0000,2000.0000,1500.2052
1200.0000,0.0000,1500.0204
1200.0000,133.3333,1500.0515
1200.0000,266.6667,1500.0653
1200.0000,400.0000,1500.0578
1200.0000,533.3333,1500.0691
1200.0000,666.6667,1500.0594
1200.0000,800.0000,1500.0577
1200.0000,933.3333,1500.0983
1200.0000,1066.6667,1500.0969
1200.0000,1200.0000,1500.0884
1200.0000,1333.3333,1500.1260
1200.0000,1466.6667,1500.1016
1200.0000,1600.0000,1500.0743
1200.0000,1733.3333,1500.1310
