y,x,val
0.0000,0.0000,1504.9760
0.0000,133.3333,1504.8497
0.0000,266.6667,1504.7892
0.0000,400.0000,1504.9490
0.0000,533.3333,1505.5504
0.0000,666.6667,1506.5260
0.0000,800.0000,1507.7923
0.0000,933.3333,1509.2150
0.0000,1066.6667,1510.9538
0.0000,1200.0000,1512.6582
0.0000,1333.3333,1514.1015
0.0000,1466.6667,1515.6284
0.0000,1600.0000,1516.8719
0.0000,1733.3333,1517.5200
0.0000,1866.6667,1517.9609
0.0000,2000.0000,1517.9609
40.0000,0.0000,1505.2290
40.0000,133.3333,1505.0840
40.0000,266.6667,1505.1802
40.0000,400.0000,1505.6087
40.0000,533.3333,1506.4157
40.0000,666.6667,1507.4378
40.0000,800.0000,1508.6870
40.0000,933.3333,1509.8876
40.0000,1066.6667,1511.4957
40.0000,1200.0000,1513.0815
40.0000,1333.3333,1514.2778
40.0000,1466.6667,1515.8826
40.0000,1600.0000,1517.4030
40.0000,1733.3333,1518.1374
40.0000,1866.6667,1518.5734
40.0000,2000.0000,1518.5734
80.0000,0.0000,1506.1392
80.0000,133.3333,1506.0783
80.0000,266.6667,1506.4391
80.0000,400.0000,1507.2185
80.0000,533.3333,1508.2690
80.0000,666.6667,1509.3324
80.0000,800.0000,1510.4742
80.0000,933.3333,1511.4085
80.0000,1066.6667,1512.7284
80.0000,1200.0000,1514.0545
80.0000,1333.3333,1515.0004
80.0000,1466.6667,1516.5678
80.0000,1600.0000,1518.2836
80.0000,1733.3333,1519.1714
80.0000,1866.6667,1519.6350
80.0000,2000.0000,1519.6350
120.0000,0.0000,1507.7246
120.0000,133.3333,1507.7892
120.0000,266.6667,1508.3954
120.0000,400.0000,1509.4541
120.0000,533.3333,1510.6565
120.0000,666.6667,1511.7053
120.0000,800.0000,1512.7125
120.0000,933.3333,1513.4132
120.0000,1066.6667,1514.4481
120.0000,1200.0000,1515.5104
120.0000,1333.3333,1516.2413
120.0000,1466.6667,1517.6933
120.0000,1600.0000,1519.4504
120.0000,1733.3333,1520.4408
120.0000,1866.6667,1520.9426
120.0000,2000.0000,1520.9426
160.0000,0.0000,1509.8612
160.0000,133.3333,1510.0494
160.0000,266.6667,1510.8394
160.0000,400.0000,1512.0807
160.0000,533.3333,1513.3184
160.0000,666.6667,1514.3030
160.0000,800.0000,1515.1615
160.0000,933.3333,1515.6704
160.0000,1066.6667,1516.4699
160.0000,1200.0000,1517.2886
160.0000,1333.3333,1517.8275
160.0000,1466.6667,1519.1338
160.0000,1600.0000,1520.8078
160.0000,1733.3333,1521.8516
160.0000,1866.6667,1522.3881
160.0000,2000.0000,1522.3881
200.0000,0.0000,1512.3716
200.0000,133.3333,1512.6609
200.0000,266.6667,1513.5589
200.0000,400.0000,1514.8623
200.0000,533.3333,1516.0673
200.0000,666.6667,1516.9860
200.0000,800.0000,1517.7115
200.0000,933.3333,1518.0836
200.0000,1066.6667,1518.6983
200.0000,1200.0000,1519.3189
200.0000,1333.3333,1519.7031
200.0000,1466.6667,1520.8514
200.0000,1600.0000,1522.3772
200.0000,1733.3333,1523.3911
200.0000,1866.6667,1523.9186
200.0000,2000.0000,1523.9186
240.0000,0.0000,1515.0668
240.0000,133.3333,1515.4234
240.0000,266.6667,1516.3611
240.0000,400.0000,1517.6516
240.0000,533.3333,1518.7735
240.0000,666.6667,1519.5850
240.0000,800.0000,1520.1904
240.0000,933.3333,1520.4575
240.0000,1066.6667,1520.9343
240.0000,1200.0000,1521.4091
240.0000,1333.3333,1521.6606
240.0000,1466.6667,1522.6308
240.0000,1600.0000,1523.9877
240.0000,1733.3333,1524.9293
240.0000,1866.6667,1525.4273
240.0000,2000.0000,1525.4273
280.0000,0.0000,1517.7774
280.0000,133.3333,1518.1758
280.0000,266.6667,1519.1068
280.0000,400.0000,1520.3400
280.0000,533.3333,1521.3371
280.0000,666.6667,1522.0285
280.0000,800.0000,1522.5125
280.0000,933.3333,1522.6858
280.0000,1066.6667,1523.0526
280.0000,1200.0000,1523.3926
280.0000,1333.3333,1523.5226
280.0000,1466.6667,1524.3237
280.0000,1600.0000,1525.4845
280.0000,1733.3333,1526.3503
280.0000,1866.6667,1526.8178
280.0000,2000.0000,1526.8178
320.0000,0.0000,1520.3601
320.0000,133.3333,1520.7855
320.0000,266.6667,1521.6821
320.0000,400.0000,1522.8227
320.0000,533.3333,1523.6909
320.0000,666.6667,1524.2775
320.0000,800.0000,1524.6456
320.0000,933.3333,1524.7409
320.0000,1066.6667,1525.0123
320.0000,1200.0000,1525.2226
320.0000,1333.3333,1525.2492
320.0000,1466.6667,1525.8998
320.0000,1600.0000,1526.8460
320.0000,1733.3333,1527.6026
320.0000,1866.6667,1528.0182
320.0000,2000.0000,1528.0182
360.0000,0.0000,1522.6872
360.0000,133.3333,1523.1216
360.0000,266.6667,1523.9633
360.0000,400.0000,1524.9968
360.0000,533.3333,1525.7278
360.0000,666.6667,1526.1943
360.0000,800.0000,1526.4511
360.0000,933.3333,1526.4593
360.0000,1066.6667,1526.6355
360.0000,1200.0000,1526.7291
360.0000,1333.3333,1526.6433
360.0000,1466.6667,1527.1397
360.0000,1600.0000,1527.9003
360.0000,1733.3333,1528.5537
360.0000,1866.6667,1528.9238
360.0000,2000.0000,1528.9238
400.0000,0.0000,1524.6590
400.0000,133.3333,1525.0895
400.0000,266.6667,1525.8600
400.0000,400.0000,1526.7751
400.0000,533.3333,1527.3524
400.0000,666.6667,1527.6899
