y,x,val
0.0000,0.0000,43.5450
0.0000,133.3333,44.2548
0.0000,266.6667,44.8988
0.0000,400.0000,45.3225
0.0000,533.3333,45.3045
0.0000,666.6667,44.9123
0.0000,800.0000,44.2296
0.0000,933.3333,43.3903
0.0000,1066.6667,42.2350
0.0000,1200.0000,41.1141
0.0000,1333.3333,40.2543
0.0000,1466.6667,39.3108
0.0000,1600.0000,38.6508
0.0000,1733.3333,38.5862
0.0000,1866.6667,38.7287
0.0000,2000.0000,38.7287
40.0000,0.0000,39.0145
40.0000,133.3333,39.7075
40.0000,266.6667,40.1592
40.0000,400.0000,40.2787
40.0000,533.3333,40.0197
40.0000,666.6667,39.5455
40.0000,800.0000,38.8443
40.0000,933.3333,38.1916
40.0000,1066.6667,37.1315
40.0000,1200.0000,36.0936
40.0000,1333.3333,35.4454
40.0000,1466.6667,34.3885
40.0000,1600.0000,33.4160
40.0000,1733.3333,33.2296
40.0000,1866.6667,33.3415
40.0000,2000.0000,33.3415
80.0000,0.0000,34.1294
80.0000,133.3333,34.7050
80.0000,266.6667,34.8588
80.0000,400.0000,34.5939
80.0000,533.3333,34.0581
80.0000,666.6667,33.5093
80.0000,800.0000,32.8821
80.0000,933.3333,32.4624
80.0000,1066.6667,31.6571
80.0000,1200.0000,30.8456
80.0000,1333.3333,30.4143
80.0000,1466.6667,29.3616
80.0000,1600.0000,28.1604
80.0000,1733.3333,27.7872
80.0000,1866.6667,27.8382
80.0000,2000.0000,27.8382
120.0000,0.0000,28.8533
120.0000,133.3333,29.2719
120.0000,266.6667,29.1491
120.0000,400.0000,28.5736
120.0000,533.3333,27.8545
120.0000,666.6667,27.2891
120.0000,800.0000,26.7652
120.0000,933.3333,26.5477
120.0000,1066.6667,25.9961
120.0000,1200.0000,25.4171
120.0000,1333.3333,25.1694
120.0000,1466.6667,24.2008
120.0000,1600.0000,22.9269
120.0000,1733.3333,22.4198
120.0000,1866.6667,22.4013
120.0000,2000.0000,22.4013
160.0000,0.0000,23.2928
160.0000,133.3333,23.5585
160.0000,266.6667,23.2224
160.0000,400.0000,22.4350
160.0000,533.3333,21.6511
160.0000,666.6667,21.1205
160.0000,800.0000,20.7158
160.0000,933.3333,20.6608
160.0000,1066.6667,20.3152
160.0000,1200.0000,19.9503
160.0000,1333.3333,19.8652
160.0000,1466.6667,19.0129
160.0000,1600.0000,17.7927
160.0000,1733.3333,17.2028
160.0000,1866.6667,17.1202
160.0000,2000.0000,17.1202
200.0000,0.0000,17.6093
200.0000,133.3333,17.7462
200.0000,266.6667,17.2745
200.0000,400.0000,16.3972
200.0000,533.3333,15.6185
200.0000,666.6667,15.1261
200.0000,800.0000,14.8269
200.0000,933.3333,14.8810
200.0000,1066.6667,14.6925
200.0000,1200.0000,14.4982
200.0000,1333.3333,14.5403
200.0000,1466.6667,13.8182
200.0000,1600.0000,12.7186
200.0000,1733.3333,12.1309
200.0000,1866.6667,12.0297
200.0000,2000.0000,12.0297
240.0000,0.0000,11.9762
240.0000,133.3333,12.0199
240.0000,266.6667,11.4825
240.0000,400.0000,10.5923
240.0000,533.3333,9.8707
240.0000,666.6667,9.4595
240.0000,800.0000,9.2544
240.0000,933.3333,9.3877
240.0000,1066.6667,9.3112
240.0000,1200.0000,9.2366
240.0000,1333.3333,9.3854
240.0000,1466.6667,8.8155
240.0000,1600.0000,7.8590
240.0000,1733.3333,7.3177
240.0000,1866.6667,7.2200
240.0000,2000.0000,7.2200
280.0000,0.0000,6.5488
280.0000,133.3333,6.5264
280.0000,266.6667,5.9714
280.0000,400.0000,5.1141
280.0000,533.3333,4.4929
280.0000,666.6667,4.1774
280.0000,800.0000,4.0694
280.0000,933.3333,4.2720
280.0000,1066.6667,4.2811
280.0000,1200.0000,4.3171
280.0000,1333.3333,4.5631
280.0000,1466.6667,4.1379
280.0000,1600.0000,3.3531
280.0000,1733.3333,2.8632
280.0000,1866.6667,2.7717
280.0000,2000.0000,2.7717
320.0000,0.0000,1.4570
320.0000,133.3333,1.3847
320.0000,266.6667,0.8411
320.0000,400.0000,0.0535
320.0000,533.3333,0.4616
320.0000,666.6667,0.6951
320.0000,800.0000,0.7102
320.0000,933.3333,0.4524
320.0000,1066.6667,0.3708
320.0000,1200.0000,0.2280
320.0000,1333.3333,0.0985
320.0000,1466.6667,0.1990
320.0000,1600.0000,0.7922
320.0000,1733.3333,1.1958
320.0000,1866.6667,1.2583
320.0000,2000.0000,1.2583
360.0000,0.0000,3.1844
360.0000,133.3333,3.2872
360.0000,266.6667,3.7973
360.0000,400.0000,4.4992
360.0000,533.3333,4.8986
360.0000,666.6667,5.0336
360.0000,800.0000,4.9588
360.0000,933.3333,4.6354
360.0000,1066.6667,4.4800
360.0000,1200.0000,4.2421
360.0000,1333.3333,3.8247
360.0000,1466.6667,3.9895
360.0000,1600.0000,4.4185
360.0000,1733.3333,4.7404
360.0000,1866.6667,4.7789
360.0000,2000.0000,4.7789
400.0000,0.0000,7.2872
400.0000,133.3333,7.4063
400.0000,266.6667,7.8654
400.0000,400.0000,8.4692
400.0000,533.3333,8.7351
400.0000,666.6667,8.7612
400.0000,800.0000,8.5930
400.0000,933.3333,8.2031
400.0000,1066.6667,7.9769
400.0000,1200.0000,7.6477
400.0000,1333.3333,7.1483
400.0000,1466.6667,7.1808
400.0000,1600.0000,7.4469
400.0000,1733.3333,7.7085
400.0000,1866.6667,7.7378
400.0000,2000.0000,7.7378
440.0000,0.0000,10.7847
440.0000,133.3333,10.9121
440.0000,266.6667,11.3086
440.0000,400.0000,11.7967
