y,x,val
0.0000,0.0000,43.1092
0.0000,133.3333,44.6787
0.0000,266.6667,45.3661
0.0000,400.0000,45.1401
0.0000,533.3333,44.2114
0.0000,666.6667,42.8519
0.0000,800.0000,41.4309
0.0000,933.3333,40.2132
0.0000,1066.6667,39.3171
0.0000,1200.0000,38.9819
0.0000,1333.3333,38.9826
0.0000,1466.6667,38.6790
0.0000,1600.0000,38.1940
0.0000,1733.3333,37.6872
0.0000,1866.6667,36.8172
0.0000,2000.0000,36.8172
40.0000,0.0000,36.3658
40.0000,133.3333,37.6209
40.0000,266.6667,37.8261
40.0000,400.0000,37.0903
40.0000,533.3333,35.9896
40.0000,666.6667,34.6253
40.0000,800.0000,33.2920
40.0000,933.3333,32.3091
40.0000,1066.6667,31.5692
40.0000,1200.0000,31.3577
40.0000,1333.3333,31.5560
40.0000,1466.6667,31.2060
40.0000,1600.0000,30.5247
40.0000,1733.3333,30.0193
40.0000,1866.6667,29.3271
40.0000,2000.0000,29.3271
80.0000,0.0000,26.6558
80.0000,133.3333,27.2717
80.0000,266.6667,26.8306
80.0000,400.0000,25.5907
80.0000,533.3333,24.4236
80.0000,666.6667,23.1911
80.0000,800.0000,22.1830
80.0000,933.3333,21.6263
80.0000,1066.6667,21.1716
80.0000,1200.0000,21.1381
80.0000,1333.3333,21.4739
80.0000,1466.6667,21.1158
80.0000,1600.0000,20.3162
80.0000,1733.3333,19.8448
80.0000,1866.6667,19.5115
80.0000,2000.0000,19.5115
120.0000,0.0000,15.4292
120.0000,133.3333,15.4283
120.0000,266.6667,14.4863
120.0000,400.0000,13.0329
120.0000,533.3333,11.9995
120.0000,666.6667,11.0338
120.0000,800.0000,10.4685
120.0000,933.3333,10.3441
120.0000,1066.6667,10.1460
120.0000,1200.0000,10.2240
120.0000,1333.3333,10.5928
120.0000,1466.6667,10.2168
120.0000,1600.0000,9.3616
120.0000,1733.3333,8.9299
120.0000,1866.6667,8.9095
120.0000,2000.0000,8.9095
160.0000,0.0000,4.1108
160.0000,133.3333,3.6324
160.0000,266.6667,2.3945
160.0000,400.0000,1.0364
160.0000,533.3333,0.2875
160.0000,666.6667,0.2810
160.0000,800.0000,0.3682
160.0000,933.3333,0.1082
160.0000,1066.6667,0.0928
160.0000,1200.0000,0.0168
160.0000,1333.3333,0.3414
160.0000,1466.6667,0.0866
160.0000,1600.0000,0.9801
160.0000,1733.3333,1.4141
160.0000,1866.6667,1.2251
160.0000,2000.0000,1.2251
200.0000,0.0000,6.0802
200.0000,133.3333,6.8491
200.0000,266.6667,8.1263
200.0000,400.0000,9.1864
200.0000,533.3333,9.5486
200.0000,666.6667,9.6524
200.0000,800.0000,9.3024
200.0000,933.3333,8.7427
200.0000,1066.6667,8.5747
200.0000,1200.0000,8.5058
200.0000,1333.3333,8.3297
200.0000,1466.6667,8.8746
200.0000,1600.0000,9.8366
200.0000,1733.3333,10.2820
200.0000,1866.6667,9.9578
200.0000,2000.0000,9.9578
240.0000,0.0000,14.2214
240.0000,133.3333,15.1096
240.0000,266.6667,16.2426
240.0000,400.0000,16.8915
240.0000,533.3333,16.7783
240.0000,666.6667,16.4230
240.0000,800.0000,15.6777
240.0000,933.3333,14.8848
240.0000,1066.6667,14.6660
240.0000,1200.0000,14.7075
240.0000,1333.3333,14.7272
240.0000,1466.6667,15.3963
240.0000,1600.0000,16.4488
240.0000,1733.3333,16.9606
240.0000,1866.6667,16.5908
240.0000,2000.0000,16.5908
280.0000,0.0000,19.7500
280.0000,133.3333,20.5957
280.0000,266.6667,21.4493
280.0000,400.0000,21.5905
280.0000,533.3333,20.9249
280.0000,666.6667,20.1311
280.0000,800.0000,19.0275
280.0000,933.3333,18.0326
280.0000,1066.6667,17.8641
280.0000,1200.0000,18.0773
280.0000,1333.3333,18.3054
280.0000,1466.6667,19.1960
280.0000,1600.0000,20.3611
280.0000,1733.3333,21.0288
280.0000,1866.6667,20.7302
280.0000,2000.0000,20.7302
320.0000,0.0000,22.4678
320.0000,133.3333,23.1426
320.0000,266.6667,23.6211
320.0000,400.0000,23.2146
320.0000,533.3333,21.9887
320.0000,666.6667,20.7982
320.0000,800.0000,19.3923
320.0000,933.3333,18.2445
320.0000,1066.6667,18.2080
320.0000,1200.0000,18.6478
320.0000,1333.3333,19.1198
320.0000,1466.6667,20.3310
320.0000,1600.0000,21.6434
320.0000,1733.3333,22.4689
320.0000,1866.6667,22.3071
320.0000,2000.0000,22.3071
360.0000,0.0000,22.4792
360.0000,133.3333,22.8608
