y,x,val
0.0000,0.0000,1506.7850
0.0000,133.3333,1506.2349
0.0000,266.6667,1506.5634
0.0000,400.0000,1507.5995
0.0000,533.3333,1509.1148
0.0000,666.6667,1510.9261
0.0000,800.0000,1512.7154
0.0000,933.3333,1514.2665
0.0000,1066.6667,1515.5316
0.0000,1200.0000,1516.4436
0.0000,1333.3333,1517.0793
0.0000,1466.6667,1517.6351
0.0000,1600.0000,1518.1853
0.0000,1733.3333,1518.8535
0.0000,1866.6667,1519.6653
0.0000,2000.0000,1519.6653
40.0000,0.0000,1508.4639
40.0000,133.3333,1508.0631
40.0000,266.6667,1508.5483
40.0000,400.0000,1509.6775
40.0000,533.3333,1511.1750
40.0000,666.6667,1512.9319
40.0000,800.0000,1514.6220
40.0000,933.3333,1516.0711
40.0000,1066.6667,1517.2972
40.0000,1200.0000,1518.1965
40.0000,1333.3333,1518.8252
40.0000,1466.6667,1519.3963
40.0000,1600.0000,1519.8943
40.0000,1733.3333,1520.4689
40.0000,1866.6667,1521.1674
40.0000,2000.0000,1521.1674
80.0000,0.0000,1512.4035
80.0000,133.3333,1512.3196
80.0000,266.6667,1512.9974
80.0000,400.0000,1514.1806
80.0000,533.3333,1515.5884
80.0000,666.6667,1517.1644
80.0000,800.0000,1518.6390
80.0000,933.3333,1519.9018
80.0000,1066.6667,1521.0089
80.0000,1200.0000,1521.8634
80.0000,1333.3333,1522.4910
80.0000,1466.6667,1523.0588
80.0000,1600.0000,1523.4980
80.0000,1733.3333,1523.9202
80.0000,1866.6667,1524.3681
80.0000,2000.0000,1524.3681
120.0000,0.0000,1517.6350
120.0000,133.3333,1517.8595
120.0000,266.6667,1518.7001
120.0000,400.0000,1519.8916
120.0000,533.3333,1521.1712
120.0000,666.6667,1522.5294
120.0000,800.0000,1523.7606
120.0000,933.3333,1524.8090
120.0000,1066.6667,1525.7597
120.0000,1200.0000,1526.5330
120.0000,1333.3333,1527.1276
120.0000,1466.6667,1527.6642
120.0000,1600.0000,1528.0437
120.0000,1733.3333,1528.3036
120.0000,1866.6667,1528.4927
120.0000,2000.0000,1528.4927
160.0000,0.0000,1523.2634
160.0000,133.3333,1523.7382
160.0000,266.6667,1524.6857
160.0000,400.0000,1525.8320
160.0000,533.3333,1526.9502
160.0000,666.6667,1528.0766
160.0000,800.0000,1529.0613
160.0000,933.3333,1529.8896
160.0000,1066.6667,1530.6767
160.0000,1200.0000,1531.3527
160.0000,1333.3333,1531.8911
160.0000,1466.6667,1532.3830
160.0000,1600.0000,1532.7127
160.0000,1733.3333,1532.8420
160.0000,1866.6667,1532.8116
160.0000,2000.0000,1532.8116
200.0000,0.0000,1528.5331
200.0000,133.3333,1529.1825
200.0000,266.6667,1530.1635
200.0000,400.0000,1531.2054
200.0000,533.3333,1532.1340
200.0000,666.6667,1533.0213
200.0000,800.0000,1533.7653
200.0000,933.3333,1534.3854
200.0000,1066.6667,1535.0195
200.0000,1200.0000,1535.6056
200.0000,1333.3333,1536.0984
200.0000,1466.6667,1536.5657
200.0000,1600.0000,1536.8661
200.0000,1733.3333,1536.9031
200.0000,1866.6667,1536.7051
200.0000,2000.0000,1536.7051
240.0000,0.0000,1532.8576
240.0000,133.3333,1533.6041
240.0000,266.6667,1534.5494
240.0000,400.0000,1535.4289
240.0000,533.3333,1536.1318
240.0000,666.6667,1536.7604
240.0000,800.0000,1537.2664
240.0000,933.3333,1537.6944
240.0000,1066.6667,1538.1938
240.0000,1200.0000,1538.7164
240.0000,1333.3333,1539.1966
240.0000,1466.6667,1539.6766
240.0000,1600.0000,1539.9956
240.0000,1733.3333,1539.9901
240.0000,1866.6667,1539.6841
240.0000,2000.0000,1539.6841
280.0000,0.0000,1535.8293
280.0000,133.3333,1536.5921
280.0000,266.6667,1537.4251
280.0000,400.0000,1538.0838
280.0000,533.3333,1538.5236
280.0000,666.6667,1538.8716
280.0000,800.0000,1539.1366
280.0000,933.3333,1539.3886
280.0000,1066.6667,1539.7808
280.0000,1200.0000,1540.2748
280.0000,1333.3333,1540.7880
280.0000,1466.6667,1541.3311
280.0000,1600.0000,1541.7265
280.0000,1733.3333,1541.7481
280.0000,1866.6667,1541.4046
280.0000,2000.0000,1541.4046
320.0000,0.0000,1537.2299
320.0000,133.3333,1537.9349
320.0000,266.6667,1538.5900
320.0000,400.0000,1538.9769
320.0000,533.3333,1539.1107
320.0000,666.6667,1539.1571
320.0000,800.0000,1539.1746
320.0000,933.3333,1539.2602
320.0000,1066.6667,1539.5750
320.0000,1200.0000,1540.0829
320.0000,1333.3333,1540.6809
320.0000,1466.6667,1541.3494
320.0000,1600.0000,1541.8814
320.0000,1733.3333,1541.9986
320.0000,1866.6667,1541.6879
320.0000,2000.0000,1541.6879
360.0000,0.0000,1537.0213
