y,x,val
0.0000,0.0000,41.7360
0.0000,133.3333,42.8696
0.0000,266.6667,43.1245
0.0000,400.0000,42.6719
0.0000,533.3333,41.7401
0.0000,666.6667,40.5123
0.0000,800.0000,39.3064
0.0000,933.3333,38.3388
0.0000,1066.6667,37.6572
0.0000,1200.0000,37.3286
0.0000,1333.3333,37.2764
0.0000,1466.6667,37.3041
0.0000,1600.0000,37.3373
0.0000,1733.3333,37.2526
0.0000,1866.6667,37.0243
0.0000,2000.0000,37.0243
40.0000,0.0000,35.7796
40.0000,133.3333,36.7284
40.0000,266.6667,36.7911
40.0000,400.0000,36.2099
40.0000,533.3333,35.2604
40.0000,666.6667,34.0514
40.0000,800.0000,32.9093
40.0000,933.3333,32.0082
40.0000,1066.6667,31.3300
40.0000,1200.0000,30.9787
40.0000,1333.3333,30.8979
40.0000,1466.6667,30.8748
40.0000,1600.0000,30.9247
40.0000,1733.3333,30.8981
40.0000,1866.6667,30.7475
40.0000,2000.0000,30.7475
80.0000,0.0000,27.8651
80.0000,133.3333,28.4636
80.0000,266.6667,28.3004
80.0000,400.0000,27.6318
80.0000,533.3333,26.7386
80.0000,666.6667,25.6773
80.0000,800.0000,24.7172
80.0000,933.3333,23.9691
80.0000,1066.6667,23.3766
80.0000,1200.0000,23.0367
80.0000,1333.3333,22.9238
80.0000,1466.6667,22.8705
80.0000,1600.0000,22.9459
80.0000,1733.3333,23.0383
80.0000,1866.6667,23.1050
80.0000,2000.0000,23.1050
120.0000,0.0000,18.9429
120.0000,133.3333,19.2017
120.0000,266.6667,18.8444
120.0000,400.0000,18.1361
120.0000,533.3333,17.3399
120.0000,666.6667,16.4649
120.0000,800.0000,15.7171
120.0000,933.3333,15.1519
120.0000,1066.6667,14.6845
120.0000,1200.0000,14.3945
120.0000,1333.3333,14.2831
120.0000,1466.6667,14.2298
120.0000,1600.0000,14.3336
120.0000,1733.3333,14.5570
120.0000,1866.6667,14.8513
120.0000,2000.0000,14.8513
160.0000,0.0000,9.8906
160.0000,133.3333,9.8697
160.0000,266.6667,9.3761
160.0000,400.0000,8.6837
160.0000,533.3333,8.0194
160.0000,666.6667,7.3468
160.0000,800.0000,6.8160
160.0000,933.3333,6.4415
160.0000,1066.6667,6.1084
160.0000,1200.0000,5.8862
160.0000,1333.3333,5.8016
160.0000,1466.6667,5.7636
160.0000,1600.0000,5.8879
160.0000,1733.3333,6.2124
160.0000,1866.6667,6.6967
160.0000,2000.0000,6.6967
200.0000,0.0000,1.4477
200.0000,133.3333,1.2246
200.0000,266.6667,0.6699
200.0000,400.0000,0.0541
200.0000,533.3333,0.4482
200.0000,666.6667,0.9092
200.0000,800.0000,1.2270
200.0000,933.3333,1.4209
200.0000,1066.6667,1.6287
200.0000,1200.0000,1.7886
200.0000,1333.3333,1.8551
200.0000,1466.6667,1.8961
200.0000,1600.0000,1.7703
200.0000,1733.3333,1.3810
200.0000,1866.6667,0.7568
200.0000,2000.0000,0.7568
240.0000,0.0000,5.8146
240.0000,133.3333,6.1608
240.0000,266.6667,6.7058
240.0000,400.0000,7.1850
240.0000,533.3333,7.4876
240.0000,666.6667,7.7159
240.0000,800.0000,7.8216
240.0000,933.3333,7.8493
240.0000,1066.6667,7.9484
240.0000,1200.0000,8.0707
240.0000,1333.3333,8.1506
240.0000,1466.6667,8.2303
240.0000,1600.0000,8.1489
240.0000,1733.3333,7.7431
240.0000,1866.6667,7.0368
240.0000,2000.0000,7.0368
280.0000,0.0000,11.5030
280.0000,133.3333,11.8899
280.0000,266.6667,12.3470
280.0000,400.0000,12.6297
280.0000,533.3333,12.6936
280.0000,666.6667,12.6657
280.0000,800.0000,12.5547
280.0000,933.3333,12.4308
280.0000,1066.6667,12.4470
280.0000,1200.0000,12.5651
280.0000,1333.3333,12.7024
280.0000,1466.6667,12.8695
280.0000,1600.0000,12.8890
280.0000,1733.3333,12.5346
280.0000,1866.6667,11.8151
280.0000,2000.0000,11.8151
320.0000,0.0000,15.4128
320.0000,133.3333,15.7647
320.0000,266.6667,16.0668
320.0000,400.0000,16.1006
320.0000,533.3333,15.8813
320.0000,666.6667,15.5747
320.0000,800.0000,15.2392
320.0000,933.3333,14.9717
320.0000,1066.6667,14.9334
320.0000,1200.0000,15.0883
320.0000,1333.3333,15.3332
320.0000,1466.6667,15.6487
320.0000,1600.0000,15.8276
320.0000,1733.3333,15.5917
320.0000,1866.6667,14.9279
320.0000,2000.0000,14.9279
360.0000,0.0000,17.5184
360.0000,133.3333,17.7678
360.0000,266.6667,17.8559
360.0000,400.0000,17.5894
360.0000,533.3333,17.0506
360.0000,666.6667,16.4436
360.0000,800.0000,15.8787
360.0000,933.3333,15.4783
360.0000,1066.6667,15.4129
360.0000,1200.0000,15.6468
360.0000,1333.3333,16.0498
360.0000,1466.6667,16.5715
360.0000,1600.0000,16.9726
360.0000,1733.3333,16.9182
360.0000,1866.6667,16.3740
360.0000,2000.0000,16.3740
400.0000,0.0000,17.9591
400.0000,133.3333,18.0471
400.0000,266.6667,17.8685
400.0000,400.0000,17.2669
400.0000,533.3333,16.3899
400.0000,666.6667,15.4756
400.0000,800.0000,14.6857
400.0000,933.3333,14.1683
400.0000,1066.6667,14.1038
400.0000,1200.0000,14.4484
400.0000,1333.3333,15.0483
400.0000,1466.6667,15.8187
400.0000,1600.0000,16.4892
400.0000,1733.3333,16.6728
400.0000,1866.6667,16.3045
400.0000,2000.0000,16.3045
440.0000,0.0000,17.0178
440.0000,133.3333,16.9081
440.0000,266.6667,16.4410
440.0000,400.0000,15.5075
440.0000,533.3333,14.3042
440.0000,666.6667,13.1060
440.0000,800.0000,12.1139
440.0000,933.3333,11.4975
440.0000,1066.6667,11.4551
440.0000,1200.0000,11.9230
440.0000,1333.3333,12.7269
440.0000,1466.6667,13.7545
440.0000,1600.0000,14.7067
440.0000,1733.3333,15.1595
440.0000,1866.6667,15.0034
440.0000,2000.0000,15.0034
480.0000,0.0000,15.0753
480.0000,133.3333,14.7672
480.0000,266.6667,14.0363
480.0000,400.0000,12.8356
480.0000,533.3333,11.3860
480.0000,666.6667,9.9886
480.0000,800.0000,8.8639
480.0000,933.3333,8.1798
480.0000,1066.6667,8.1688
480.0000,1200.0000,8.7274
480.0000,1333.3333,9.6787
480.0000,1466.6667,10.9014
480.0000,1600.0000,12.0836
480.0000,1733.3333,12.7895
480.0000,1866.6667,12.8463
480.0000,2000.0000,12.8463
520.0000,0.0000,12.5455
520.0000,133.3333,12.0863
520.0000,266.6667,11.2033
520.0000,400.0000,9.9102
520.0000,533.3333,8.4151
520.0000,666.6667,7.0272
520.0000,800.0000,5.9380
520.0000,933.3333,5.2643
520.0000,1066.6667,5.2536
520.0000,1200.0000,5.7756
520.0000,1333.3333,6.6943
520.0000,1466.6667,7.9269
520.0000,1600.0000,9.1683
520.0000,1733.3333,10.0171
520.0000,1866.6667,10.2353
520.0000,2000.0000,10.2353
560.0000,0.0000,9.7914
560.0000,133.3333,9.2354
560.0000,266.6667,8.2962
560.0000,400.0000,7.0214
560.0000,533.3333,5.6046
560.0000,666.6667,4.3423
560.0000,800.0000,3.3629
560.0000,933.3333,2.7472
560.0000,1066.6667,2.7237
560.0000,1200.0000,3.1561
560.0000,1333.3333,3.9533
560.0000,1466.6667,5.0929
560.0000,1600.0000,6.2916
560.0000,1733.3333,7.1906
560.0000,1866.6667,7.5113
560.0000,2000.0000,7.5113
600.0000,0.0000,7.1031
600.0000,133.3333,6.5004
600.0000,266.6667,5.5818
600.0000,400.0000,4.4172
600.0000,533.3333,3.1740
600.0000,666.6667,2.1091
600.0000,800.0000,1.2912
600.0000,933.3333,0.7672
600.0000,1066.6667,0.7164
600.0000,1200.0000,1.0266
600.0000,1333.3333,1.6492
600.0000,1466.6667,2.6105
600.0000,1600.0000,3.6796
600.0000,1733.3333,4.5559
600.0000,1866.6667,4.9324
600.0000,2000.0000,4.9324
640.0000,0.0000,4.6921
640.0000,133.3333,4.1038
640.0000,266.6667,3.2984
640.0000,400.0000,2.3519
640.0000,533.3333,1.3795
640.0000,666.6667,0.5890
640.0000,800.0000,0.0093
640.0000,933.3333,0.4193
640.0000,1066.6667,0.5125
640.0000,1200.0000,0.3646
640.0000,1333.3333,0.0190
640.0000,1466.6667,0.7164
640.0000,1600.0000,1.5556
640.0000,1733.3333,2.3157
640.0000,1866.6667,2.6865
640.0000,2000.0000,2.6865
680.0000,0.0000,2.6684
680.0000,133.3333,2.1351
680.0000,266.6667,1.4904
680.0000,400.0000,0.7959
680.0000,533.3333,0.1183
680.0000,666.6667,0.3874
680.0000,800.0000,0.7683
680.0000,933.3333,1.0666
680.0000,1066.6667,1.1974
680.0000,1200.0000,1.2112
680.0000,1333.3333,1.0667
680.0000,1466.6667,0.6430
680.0000,1600.0000,0.0596
680.0000,1733.3333,0.5365
680.0000,1866.6667,0.8601
680.0000,2000.0000,0.8601
720.0000,0.0000,1.0643
720.0000,133.3333,0.6079
720.0000,266.6667,0.1395
720.0000,400.0000,0.3030
720.0000,533.3333,0.6939
720.0000,666.6667,0.9338
720.0000,800.0000,1.1199
720.0000,933.3333,1.3199
720.0000,1066.6667,1.4802
720.0000,1200.0000,1.6363
720.0000,1333.3333,1.7087
720.0000,1466.6667,1.5463
720.0000,1600.0000,1.2125
720.0000,1733.3333,0.7926
720.0000,1866.6667,0.5361
720.0000,2000.0000,0.5361
760.0000,0.0000,0.1369
760.0000,133.3333,0.5037
760.0000,266.6667,0.7916
760.0000,400.0000,0.9924
760.0000,533.3333,1.1210
760.0000,666.6667,1.1277
760.0000,800.0000,1.1459
760.0000,933.3333,1.2614
760.0000,1066.6667,1.4417
760.0000,1200.0000,1.7137
760.0000,1333.3333,1.9730
760.0000,1466.6667,2.0469
760.0000,1600.0000,1.9504
760.0000,1733.3333,1.7108
760.0000,1866.6667,1.5333
760.0000,2000.0000,1.5333
800.0000,0.0000,0.9880
800.0000,133.3333,1.2667
800.0000,266.6667,1.3892
800.0000,400.0000,1.3797
800.0000,533.3333,1.2843
800.0000,666.6667,1.0987
800.0000,800.0000,0.9824
800.0000,933.3333,1.0302
800.0000,1066.6667,1.2213
800.0000,1200.0000,1.5825
800.0000,1333.3333,1.9891
800.0000,1466.6667,2.2607
800.0000,1600.0000,2.3697
800.0000,1733.3333,2.2967
800.0000,1866.6667,2.1953
800.0000,2000.0000,2.1953
840.0000,0.0000,1.5531
840.0000,133.3333,1.7524
840.0000,266.6667,1.7378
840.0000,400.0000,1.5631
840.0000,533.3333,1.2977
840.0000,666.6667,0.9744
840.0000,800.0000,0.7641
840.0000,933.3333,0.7574
840.0000,1066.6667,0.9416
840.0000,1200.0000,1.3537
840.0000,1333.3333,1.8579
840.0000,1466.6667,2.2771
840.0000,1600.0000,2.5512
840.0000,1733.3333,2.6221
840.0000,1866.6667,2.5919
840.0000,2000.0000,2.5919
880.0000,0.0000,1.8916
880.0000,133.3333,2.0230
880.0000,266.6667,1.9004
880.0000,400.0000,1.5973
