y,x,val
0.0000,0.0000,1503.8067
0.0000,133.3333,1502.9883
0.0000,266.6667,1503.2794
0.0000,400.0000,1504.5323
0.0000,533.3333,1506.4784
0.0000,666.6667,1508.8524
0.0000,800.0000,1511.1951
0.0000,933.3333,1513.0480
0.0000,1066.6667,1514.1530
0.0000,1200.0000,1514.4617
0.0000,1333.3333,1514.1947
0.0000,1466.6667,1513.7486
0.0000,1600.0000,1513.4934
0.0000,1733.3333,1513.8407
0.0000,1866.6667,1514.8763
0.0000,2000.0000,1514.8763
40.0000,0.0000,1506.1777
40.0000,133.3333,1505.6207
40.0000,266.6667,1506.2089
40.0000,400.0000,1507.6553
40.0000,533.3333,1509.5502
40.0000,666.6667,1511.7334
40.0000,800.0000,1513.8108
40.0000,933.3333,1515.4515
40.0000,1066.6667,1516.4872
40.0000,1200.0000,1516.8393
40.0000,1333.3333,1516.6789
40.0000,1466.6667,1516.3627
40.0000,1600.0000,1516.0956
40.0000,1733.3333,1516.3277
40.0000,1866.6667,1517.1747
40.0000,2000.0000,1517.1747
80.0000,0.0000,1511.6747
80.0000,133.3333,1511.6295
80.0000,266.6667,1512.5833
80.0000,400.0000,1514.1579
80.0000,533.3333,1515.8618
80.0000,666.6667,1517.6379
80.0000,800.0000,1519.2354
80.0000,933.3333,1520.5025
80.0000,1066.6667,1521.3761
80.0000,1200.0000,1521.7943
80.0000,1333.3333,1521.8431
80.0000,1466.6667,1521.7630
80.0000,1600.0000,1521.5946
80.0000,1733.3333,1521.6859
80.0000,1866.6667,1522.1469
80.0000,2000.0000,1522.1469
120.0000,0.0000,1518.8648
120.0000,133.3333,1519.3057
120.0000,266.6667,1520.5521
120.0000,400.0000,1522.1498
120.0000,533.3333,1523.5902
120.0000,666.6667,1524.9328
120.0000,800.0000,1526.0457
120.0000,933.3333,1526.9256
120.0000,1066.6667,1527.6202
120.0000,1200.0000,1528.0767
120.0000,1333.3333,1528.2966
120.0000,1466.6667,1528.4479
120.0000,1600.0000,1528.4205
120.0000,1733.3333,1528.3870
120.0000,1866.6667,1528.4768
120.0000,2000.0000,1528.4768
160.0000,0.0000,1526.4168
160.0000,133.3333,1527.2422
160.0000,266.6667,1528.6722
160.0000,400.0000,1530.1795
160.0000,533.3333,1531.3066
160.0000,666.6667,1532.2397
160.0000,800.0000,1532.8965
160.0000,933.3333,1533.4116
160.0000,1066.6667,1533.9740
160.0000,1200.0000,1534.4736
160.0000,1333.3333,1534.8081
160.0000,1466.6667,1535.1559
160.0000,1600.0000,1535.2795
160.0000,1733.3333,1535.1801
160.0000,1866.6667,1534.9779
160.0000,2000.0000,1534.9779
200.0000,0.0000,1533.2133
200.0000,133.3333,1534.2827
200.0000,266.6667,1535.7438
200.0000,400.0000,1537.0442
200.0000,533.3333,1537.8303
200.0000,666.6667,1538.3802
200.0000,800.0000,1538.6511
200.0000,933.3333,1538.8572
200.0000,1066.6667,1539.3174
200.0000,1200.0000,1539.8709
200.0000,1333.3333,1540.3353
200.0000,1466.6667,1540.8999
200.0000,1600.0000,1541.1891
