y,x,val
0.0000,0.0000,44.6736
0.0000,133.3333,45.6348
0.0000,266.6667,44.9291
0.0000,400.0000,43.1408
0.0000,533.3333,40.8591
0.0000,666.6667,38.4970
0.0000,800.0000,36.6235
0.0000,933.3333,35.6622
0.0000,1066.6667,35.7428
0.0000,1200.0000,36.7997
0.0000,1333.3333,38.5276
0.0000,1466.6667,40.5133
0.0000,1600.0000,42.2642
0.0000,1733.3333,43.2592
0.0000,1866.6667,43.2983
0.0000,2000.0000,43.2983
40.0000,0.0000,38.3475
40.0000,133.3333,39.0692
40.0000,266.6667,38.2605
40.0000,400.0000,36.5836
40.0000,533.3333,34.4988
40.0000,666.6667,32.2961
40.0000,800.0000,30.5769
40.0000,933.3333,29.6535
40.0000,1066.6667,29.6391
40.0000,1200.0000,30.5438
40.0000,1333.3333,32.0877
40.0000,1466.6667,33.9268
40.0000,1600.0000,35.6551
40.0000,1733.3333,36.6932
40.0000,1866.6667,36.8338
40.0000,2000.0000,36.8338
80.0000,0.0000,29.6048
80.0000,133.3333,29.9691
80.0000,266.6667,29.1750
80.0000,400.0000,27.8175
80.0000,533.3333,26.1851
80.0000,666.6667,24.4404
80.0000,800.0000,23.0749
80.0000,933.3333,22.2956
80.0000,1066.6667,22.1985
80.0000,1200.0000,22.8450
80.0000,1333.3333,24.0360
80.0000,1466.6667,25.5394
80.0000,1600.0000,27.0976
80.0000,1733.3333,28.1574
80.0000,1866.6667,28.5379
80.0000,2000.0000,28.5379
120.0000,0.0000,19.7773
120.0000,133.3333,19.8526
120.0000,266.6667,19.1283
120.0000,400.0000,18.1123
120.0000,533.3333,16.9657
120.0000,666.6667,15.7292
120.0000,800.0000,14.7426
120.0000,933.3333,14.1521
120.0000,1066.6667,14.0199
120.0000,1200.0000,14.4374
120.0000,1333.3333,15.2864
120.0000,1466.6667,16.4265
120.0000,1600.0000,17.7582
120.0000,1733.3333,18.8038
120.0000,1866.6667,19.4009
120.0000,2000.0000,19.4009
160.0000,0.0000,9.9362
160.0000,133.3333,9.8050
160.0000,266.6667,9.1786
160.0000,400.0000,8.4740
160.0000,533.3333,7.7697
160.0000,666.6667,6.9945
160.0000,800.0000,6.3543
160.0000,933.3333,5.9627
160.0000,1066.6667,5.8244
160.0000,1200.0000,6.0631
160.0000,1333.3333,6.6236
160.0000,1466.6667,7.4312
160.0000,1600.0000,8.5199
160.0000,1733.3333,9.5232
160.0000,1866.6667,10.2850
160.0000,2000.0000,10.2850
200.0000,0.0000,0.8969
200.0000,133.3333,0.6332
200.0000,266.6667,0.1184
200.0000,400.0000,0.3110
200.0000,533.3333,0.6470
200.0000,666.6667,1.0407
200.0000,800.0000,1.3764
200.0000,933.3333,1.5667
200.0000,1066.6667,1.6776
200.0000,1200.0000,1.5673
200.0000,1333.3333,1.2380
200.0000,1466.6667,0.7181
200.0000,1600.0000,0.1180
200.0000,1733.3333,1.0344
200.0000,1866.6667,1.8948
200.0000,2000.0000,1.8948
240.0000,0.0000,6.7604
240.0000,133.3333,7.0882
240.0000,266.6667,7.4736
240.0000,400.0000,7.6623
240.0000,533.3333,7.6756
240.0000,666.6667,7.7247
240.0000,800.0000,7.7948
240.0000,933.3333,7.8118
240.0000,1066.6667,7.8829
240.0000,1200.0000,7.8760
240.0000,1333.3333,7.7572
240.0000,1466.6667,7.5067
240.0000,1600.0000,6.9306
240.0000,1733.3333,6.1372
240.0000,1866.6667,5.2437
240.0000,2000.0000,5.2437
280.0000,0.0000,12.6670
280.0000,133.3333,12.9969
280.0000,266.6667,13.2300
280.0000,400.0000,13.1752
280.0000,533.3333,12.8819
280.0000,666.6667,12.6168
280.0000,800.0000,12.4368
280.0000,933.3333,12.2984
280.0000,1066.6667,12.3397
280.0000,1200.0000,12.4392
280.0000,1333.3333,12.5357
280.0000,1466.6667,12.5529
280.0000,1600.0000,12.2569
280.0000,1733.3333,11.6409
280.0000,1866.6667,10.7819
280.0000,2000.0000,10.7819
320.0000,0.0000,16.6522
320.0000,133.3333,16.9233
320.0000,266.6667,16.9703
320.0000,400.0000,16.6523
320.0000,533.3333,16.0456
320.0000,666.6667,15.4706
320.0000,800.0000,15.0481
320.0000,933.3333,14.7687
320.0000,1066.6667,14.8006
320.0000,1200.0000,15.0310
320.0000,1333.3333,15.3696
320.0000,1466.6667,15.6869
320.0000,1600.0000,15.7015
320.0000,1733.3333,15.3128
320.0000,1866.6667,14.5526
320.0000,2000.0000,14.5526
360.0000,0.0000,18.7226
360.0000,133.3333,18.8773
360.0000,266.6667,18.6970
360.0000,400.0000,18.0958
360.0000,533.3333,17.1583
360.0000,666.6667,16.2610
360.0000,800.0000,15.5958
360.0000,933.3333,15.1828
360.0000,1066.6667,15.2256
360.0000,1200.0000,15.6221
360.0000,1333.3333,16.2446
360.0000,1466.6667,16.9059
360.0000,1600.0000,17.2801
360.0000,1733.3333,17.1660
360.0000,1866.6667,16.5631
360.0000,2000.0000,16.5631
400.0000,0.0000,19.0498
400.0000,133.3333,19.0419
400.0000,266.6667,18.6069
400.0000,400.0000,17.7041
400.0000,533.3333,16.4259
400.0000,666.6667,15.1964
400.0000,800.0000,14.2716
400.0000,933.3333,13.7229
400.0000,1066.6667,13.7990
400.0000,1200.0000,14.3937
400.0000,1333.3333,15.3369
400.0000,1466.6667,16.3752
400.0000,1600.0000,17.1499
400.0000,1733.3333,17.3649
400.0000,1866.6667,16.9748
400.0000,2000.0000,16.9748
440.0000,0.0000,17.9445
440.0000,133.3333,17.7503
440.0000,266.6667,17.0600
440.0000,400.0000,15.8720
440.0000,533.3333,14.2733
440.0000,666.6667,12.7266
440.0000,800.0000,11.5455
440.0000,933.3333,10.8578
440.0000,1066.6667,10.9935
440.0000,1200.0000,11.8051
440.0000,1333.3333,13.0787
440.0000,1466.6667,14.5047
440.0000,1600.0000,15.6786
440.0000,1733.3333,16.2387
440.0000,1866.6667,16.0905
440.0000,2000.0000,16.0905
480.0000,0.0000,15.7992
480.0000,133.3333,15.4295
480.0000,266.6667,14.5279
480.0000,400.0000,13.1483
480.0000,533.3333,11.3252
480.0000,666.6667,9.5548
480.0000,800.0000,8.1867
480.0000,933.3333,7.3687
480.0000,1066.6667,7.5826
480.0000,1200.0000,8.5707
480.0000,1333.3333,10.1034
